name,url,clone,go_list,syft,trivy,cdxgen,cyclonedx_gomod,gt_lines
xhit__go-str2duration,https://github.com/xhit/go-str2duration,ok,ok,ok,ok,ok,ok,1
nathan-osman__go-sunrise,https://github.com/nathan-osman/go-sunrise,ok,ok,ok,ok,ok,ok,1
stoewer__go-week,https://github.com/stoewer/go-week,ok,ok,ok,ok,ok,ok,10
bykof__gostradamus,https://github.com/bykof/gostradamus,ok,ok,ok,ok,ok,ok,8
relvacode__iso8601,https://github.com/relvacode/iso8601,ok,ok,ok,ok,ok,ok,1
GuilhermeCaruso__kair,https://github.com/GuilhermeCaruso/kair,ok,fail,ok,ok,ok,fail,0
jinzhu__now,https://github.com/jinzhu/now,ok,ok,ok,ok,ok,ok,1
awoodbeck__strftime,https://github.com/awoodbeck/strftime,ok,fail,ok,ok,ok,fail,0
SaidinWoT__timespan,https://github.com/SaidinWoT/timespan,ok,fail,ok,ok,ok,fail,0
leekchan__timeutil,https://github.com/leekchan/timeutil,ok,fail,ok,ok,ok,fail,0
osteele__tuesday,https://github.com/osteele/tuesday,ok,ok,ok,ok,ok,ok,7
lesismal__arpc,https://github.com/lesismal/arpc,ok,ok,ok,ok,ok,ok,1
z5labs__bedrock,https://github.com/z5labs/bedrock,ok,ok,ok,ok,ok,ok,86
capillariesio__capillaries,https://github.com/capillariesio/capillaries,ok,ok,ok,ok,ok,ok,118
schigh__circuit,https://github.com/schigh/circuit,ok,ok,ok,ok,ok,ok,1
cmd-stream__cmd-stream-go,https://github.com/cmd-stream/cmd-stream-go,ok,ok,ok,ok,ok,ok,12
vadiminshakov__committer,https://github.com/vadiminshakov/committer,ok,ok,ok,ok,ok,ok,142
buraksezer__consistent,https://github.com/buraksezer/consistent,ok,ok,ok,ok,ok,ok,1
mbrostami__consistenthash,https://github.com/mbrostami/consistenthash,ok,ok,ok,ok,ok,ok,1
anacrolix__dht,https://github.com/anacrolix/dht,ok,ok,ok,ok,ok,ok,356
digota__digota,https://github.com/digota/digota,ok,fail,ok,ok,ok,fail,0
dotchain__dot,https://github.com/dotchain/dot,ok,ok,ok,ok,ok,fail,14
edwingeng__doublejump,https://github.com/edwingeng/doublejump,ok,ok,ok,ok,ok,ok,2
lni__dragonboat,https://github.com/lni/dragonboat,ok,ok,ok,ok,ok,ok,222
dragonflyoss__Dragonfly2,https://github.com/dragonflyoss/Dragonfly2,ok,ok,ok,ok,ok,ok,612
dgruber__drmaa,https://github.com/dgruber/drmaa,ok,ok,ok,ok,ok,ok,1
tylfin__dynatomic,https://github.com/tylfin/dynatomic,ok,fail,ok,ok,ok,fail,0
emitter-io__emitter,https://github.com/emitter-io/emitter,ok,ok,ok,ok,ok,ok,138
ktr0731__evans,https://github.com/ktr0731/evans,ok,ok,ok,ok,ok,ok,561
andy2046__failured,https://github.com/andy2046/failured,ok,ok,ok,ok,ok,ok,2
vectaport__flowgraph,https://github.com/vectaport/flowgraph,ok,ok,ok,ok,ok,ok,7
chrislusf__gleam,https://github.com/chrislusf/gleam,ok,ok,ok,ok,ok,ok,279
chrislusf__glow,https://github.com/chrislusf/glow,ok,fail,ok,ok,ok,fail,0
gmsec__micro,https://github.com/gmsec/micro,ok,ok,ok,ok,fail,ok,170
unionj-cloud__go-doudou,https://github.com/unionj-cloud/go-doudou,ok,ok,ok,ok,ok,ok,757
go-eagle__eagle,https://github.com/go-eagle/eagle,ok,ok,ok,ok,ok,ok,824
dgryski__go-jump,https://github.com/dgryski/go-jump,ok,fail,ok,ok,ok,fail,0
go-kit__kit,https://github.com/go-kit/kit,ok,ok,ok,ok,ok,ok,230
micro__go-micro,https://github.com/micro/go-micro,ok,ok,ok,ok,ok,ok,254
sanketplus__go-mysql-lock,https://github.com/sanketplus/go-mysql-lock,ok,ok,ok,ok,ok,ok,21
pdupub__go-pdu,https://github.com/pdupub/go-pdu,ok,ok,ok,ok,ok,ok,443
AppsFlyer__go-sundheit,https://github.com/AppsFlyer/go-sundheit,ok,ok,ok,ok,ok,ok,12
tal-tech__go-zero,https://github.com/tal-tech/go-zero,ok,ok,ok,ok,ok,ok,223
valyala__gorpc,https://github.com/valyala/gorpc,ok,fail,ok,ok,ok,fail,0
grpc__grpc-go,https://github.com/grpc/grpc-go,ok,ok,ok,ok,ok,ok,67
schigh__health,https://github.com/schigh/health,ok,ok,ok,ok,ok,ok,1
hprose__hprose-golang,https://github.com/hprose/hprose-golang,ok,ok,ok,ok,ok,ok,27
osamingo__jsonrpc,https://github.com/osamingo/jsonrpc,ok,ok,ok,ok,ok,ok,14
ybbus__jsonrpc,https://github.com/ybbus/jsonrpc,ok,ok,ok,ok,ok,ok,7
k8gb-io__k8gb,https://github.com/k8gb-io/k8gb,ok,ok,ok,ok,ok,ok,309
cloudwego__kitex,https://github.com/cloudwego/kitex,ok,ok,ok,ok,ok,ok,81
go-kratos__kratos,https://github.com/go-kratos/kratos,ok,ok,ok,ok,ok,ok,53
liftbridge-io__liftbridge,https://github.com/liftbridge-io/liftbridge,ok,ok,ok,ok,ok,ok,361
ubgo__lock,https://github.com/ubgo/lock,ok,fail,ok,ok,ok,ok,0
luraproject__lura,https://github.com/luraproject/lura,ok,ok,ok,ok,ok,ok,62
micro__micro,https://github.com/micro/micro,fail,,,,,,0
mochi-co__mqtt,https://github.com/mochi-co/mqtt,ok,ok,ok,ok,ok,ok,192
nats-io__nats-server,https://github.com/nats-io/nats-server,ok,ok,ok,ok,ok,ok,24
