github.com/axgle/mahonia	v0.0.0-20180208002826-3358181d7394
github.com/golang/protobuf	v1.5.4
github.com/google/uuid	v1.6.0
github.com/gookit/color	v1.6.0
github.com/grpc-ecosystem/go-grpc-middleware	v1.3.0
github.com/miekg/dns	v1.1.50
github.com/opentracing/opentracing-go	v1.2.0
github.com/pkg/errors	v0.9.1
github.com/uber/jaeger-client-go	v2.30.0+incompatible
github.com/uber/jaeger-lib	v2.4.1+incompatible
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
github.com/xxjwxc/public	v0.0.0-20260228072651-9aec6824e727
go.uber.org/atomic	v1.11.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.27.1
golang.org/x/mod	v0.33.0
golang.org/x/net	v0.51.0
golang.org/x/sync	v0.19.0
golang.org/x/sys	v0.41.0
golang.org/x/text	v0.34.0
golang.org/x/tools	v0.42.0
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260226221140-a57be14db171
google.golang.org/grpc	v1.79.1
google.golang.org/protobuf	v1.36.11
gopkg.in/natefinch/lumberjack.v2	v2.2.1
