github.com/otetz/pig
github.com/cockroachdb/cockroach-go/v2 v2.2.0
github.com/davecgh/go-spew v1.1.1
github.com/georgysavva/scany/v2 v2.1.4
github.com/gofrs/flock v0.8.1
github.com/golang-sql/civil v0.0.0-20220223132316-b832511892a9
github.com/golang-sql/sqlexp v0.1.0
github.com/jackc/pgpassfile v1.0.0
github.com/jackc/pgservicefile v0.0.0-20240606120523-5a60cdf6a761
github.com/jackc/pgx/v5 v5.7.5
github.com/jackc/puddle/v2 v2.2.2
github.com/kr/pretty v0.3.0
github.com/kr/text v0.2.0
github.com/lib/pq v1.10.0
github.com/microsoft/go-mssqldb v1.6.0
github.com/pashagolub/pgxmock/v4 v4.8.0
github.com/pkg/errors v0.9.1
github.com/pmezard/go-difflib v1.0.0
github.com/rogpeppe/go-internal v1.12.0
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.9.0
golang.org/x/crypto v0.37.0
golang.org/x/mod v0.17.0
golang.org/x/net v0.21.0
golang.org/x/sync v0.13.0
golang.org/x/sys v0.32.0
golang.org/x/term v0.31.0
golang.org/x/text v0.24.0
golang.org/x/tools v0.21.1-0.20240508182429-e35e4ccd0d2d
gopkg.in/check.v1 v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3 v3.0.1
