repo,tool,all_n_tp,all_n_fp,all_n_fn,all_v_tp,all_v_fp,all_v_fn,imp_n_tp,imp_n_fp,imp_n_fn,imp_v_tp,imp_v_fp,imp_v_fn,impT_n_tp,impT_n_fp,impT_n_fn,impT_v_tp,impT_v_fp,impT_v_fn
codesenberg__bombardier,cdxgen,18,0,16,18,0,16,18,0,0,18,0,0,16,2,0,7,11,9
codesenberg__bombardier,cyclonedx-gomod,18,0,16,18,0,16,18,0,0,18,0,0,16,2,0,7,11,9
codeship__codeship-go,syft,16,0,248,16,0,248,1,15,0,1,15,0,7,9,0,7,9,0
codeship__codeship-go,trivy,264,0,0,264,0,0,1,263,0,1,263,0,7,257,0,7,257,0
codeship__codeship-go,cdxgen,1,0,263,1,0,263,1,0,0,1,0,0,1,0,6,1,0,6
codeship__codeship-go,cyclonedx-gomod,NA
codingconcepts__dg,syft,9,0,5,9,0,5,5,4,0,5,4,0,8,1,0,8,1,0
codingconcepts__dg,trivy,8,0,6,8,0,6,5,3,0,5,3,0,8,0,0,8,0,0
codingconcepts__dg,cdxgen,5,0,9,5,0,9,5,0,0,5,0,0,5,0,3,5,0,3
codingconcepts__dg,cyclonedx-gomod,5,0,9,5,0,9,5,0,0,5,0,0,5,0,3,5,0,3
codingsince1985__checksum,syft,3,0,3,3,0,3,2,1,0,2,1,0,3,0,0,3,0,0
codingsince1985__checksum,trivy,3,0,3,3,0,3,2,1,0,2,1,0,3,0,0,3,0,0
codingsince1985__checksum,cdxgen,2,0,4,2,0,4,2,0,0,2,0,0,2,0,1,2,0,1
codingsince1985__checksum,cyclonedx-gomod,2,0,4,2,0,4,2,0,0,2,0,0,2,0,1,2,0,1
codingsince1985__couchcache,syft,16,0,5,16,0,5,10,6,0,10,6,0,10,6,0,10,6,0
codingsince1985__couchcache,trivy,13,0,8,13,0,8,10,3,0,10,3,0,10,3,0,10,3,0
codingsince1985__couchcache,cdxgen,10,0,11,10,0,11,10,0,0,10,0,0,10,0,0,10,0,0
codingsince1985__couchcache,cyclonedx-gomod,10,0,11,10,0,11,10,0,0,10,0,0,10,0,0,10,0,0
codingsince1985__geo-golang,syft,6,0,1,6,0,1,1,5,0,1,5,0,5,1,0,5,1,0
codingsince1985__geo-golang,trivy,5,0,2,5,0,2,1,4,0,1,4,0,5,0,0,5,0,0
codingsince1985__geo-golang,cdxgen,1,0,6,1,0,6,1,0,0,1,0,0,1,0,4,1,0,4
codingsince1985__geo-golang,cyclonedx-gomod,1,0,6,1,0,6,1,0,0,1,0,0,1,0,4,1,0,4
coinpaprika__coinpaprika-api-go-client,syft,7,0,1,7,0,1,1,6,0,1,6,0,5,2,0,4,3,1
coinpaprika__coinpaprika-api-go-client,trivy,5,0,3,5,0,3,1,4,0,1,4,0,5,0,0,4,1,1
coinpaprika__coinpaprika-api-go-client,cdxgen,1,0,7,1,0,7,1,0,0,1,0,0,1,0,4,0,1,5
coinpaprika__coinpaprika-api-go-client,cyclonedx-gomod,1,0,7,1,0,7,1,0,0,1,0,0,1,0,4,0,1,5
connectordb__connectordb,syft,73,0,173,73,0,173,46,27,0,46,27,0,46,27,0,46,27,0
connectordb__connectordb,trivy,65,0,181,65,0,181,46,19,0,46,19,0,46,19,0,46,19,0
connectordb__connectordb,cdxgen,46,0,200,46,0,200,46,0,0,46,0,0,46,0,0,46,0,0
connectordb__connectordb,cyclonedx-gomod,46,0,200,46,0,200,42,4,4,42,4,4,42,4,4,42,4,4
consbio__mbtileserver,syft,27,0,8,27,0,8,21,6,0,21,6,0,21,6,1,14,13,8
consbio__mbtileserver,trivy,22,0,13,22,0,13,21,1,0,21,1,0,21,1,1,14,8,8
consbio__mbtileserver,cdxgen,21,0,14,21,0,14,21,0,0,21,0,0,21,0,1,14,7,8
consbio__mbtileserver,cyclonedx-gomod,22,0,13,22,0,13,21,1,0,21,1,0,21,1,1,14,8,8
containers__podman-tui,syft,186,0,241,186,0,241,125,61,0,125,61,0,133,53,0,117,69,16
containers__podman-tui,trivy,137,0,290,137,0,290,125,12,0,125,12,0,132,5,1,116,21,17
containers__podman-tui,cdxgen,137,0,290,137,0,290,125,12,0,125,12,0,132,5,1,116,21,17
containers__podman-tui,cyclonedx-gomod,127,0,300,127,0,300,124,3,1,124,3,1,124,3,9,110,17,23
containrrr__shoutrrr,syft,53,1,11,53,1,11,29,25,0,29,25,0,23,31,6,1,53,28
containrrr__shoutrrr,trivy,33,1,31,33,1,31,29,5,0,29,5,0,22,12,7,0,34,29
containrrr__shoutrrr,cdxgen,28,1,36,28,1,36,29,0,0,29,0,0,21,8,8,0,29,29
containrrr__shoutrrr,cyclonedx-gomod,31,1,33,31,1,33,29,3,0,29,3,0,21,11,8,0,32,29
corbym__gogiven,syft,2,0,0,2,0,0,1,1,0,1,1,0,2,0,0,2,0,0
corbym__gogiven,trivy,2,0,0,2,0,0,1,1,0,1,1,0,2,0,0,2,0,0
corbym__gogiven,cdxgen,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1
corbym__gogiven,cyclonedx-gomod,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1
coregx__coregex,syft,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0
coregx__coregex,trivy,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0
coregx__coregex,cdxgen,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0
coregx__coregex,cyclonedx-gomod,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0
coregx__fursy,syft,2,74,0,2,77,0,2,74,0,2,77,0,2,74,0,2,77,0
coregx__fursy,trivy,2,50,0,2,52,0,2,50,0,2,52,0,2,50,0,2,52,0
coregx__fursy,cdxgen,2,51,0,2,53,0,2,51,0,2,53,0,2,51,0,2,53,0
coregx__fursy,cyclonedx-gomod,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0
corona10__goimagehash,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
corona10__goimagehash,trivy,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
corona10__goimagehash,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
corona10__goimagehash,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
cortesi__devd,syft,29,0,12,29,0,12,21,8,0,21,8,0,21,8,0,21,8,0
cortesi__devd,trivy,27,0,14,27,0,14,21,6,0,21,6,0,21,6,0,21,6,0
cortesi__devd,cdxgen,21,0,20,21,0,20,21,0,0,21,0,0,21,0,0,21,0,0
cortesi__devd,cyclonedx-gomod,21,0,20,21,0,20,21,0,0,21,0,0,21,0,0,21,0,0
cosmtrek__air,syft,101,1,98,101,1,98,19,83,0,19,83,0,23,79,0,23,79,0
cosmtrek__air,trivy,27,1,172,27,1,172,19,9,0,19,9,0,23,5,0,23,5,0
cosmtrek__air,cdxgen,19,0,180,19,0,180,19,0,0,19,0,0,19,0,4,19,0,4
cosmtrek__air,cyclonedx-gomod,19,0,180,19,0,180,19,0,0,19,0,0,19,0,4,19,0,4
cossacklabs__acra,syft,146,0,221,146,0,221,110,36,0,110,36,0,110,36,0,110,36,0
cossacklabs__acra,trivy,125,0,242,125,0,242,110,15,0,110,15,0,110,15,0,110,15,0
cossacklabs__acra,cdxgen,110,0,257,110,0,257,110,0,0,110,0,0,110,0,0,110,0,0
cossacklabs__acra,cyclonedx-gomod,120,0,247,120,0,247,110,10,0,110,10,0,110,10,0,110,10,0
couchbase__go-couchbase,syft,0,28,0,0,28,0,10,18,0,10,18,0,10,18,0,10,18,0
couchbase__go-couchbase,trivy,0,28,0,0,28,0,10,18,0,10,18,0,10,18,0,10,18,0
couchbase__go-couchbase,cdxgen,0,10,0,0,10,0,10,0,0,10,0,0,10,0,0,10,0,0
couchbase__go-couchbase,cyclonedx-gomod,0,10,0,0,10,0,10,0,0,10,0,0,10,0,0,10,0,0
couchbase__gocb,syft,39,0,20,39,0,20,23,16,0,23,16,0,29,10,0,18,21,11
couchbase__gocb,trivy,29,0,30,29,0,30,23,6,0,23,6,0,29,0,0,18,11,11
couchbase__gocb,cdxgen,23,0,36,23,0,36,23,0,0,23,0,0,23,0,6,12,11,17
couchbase__gocb,cyclonedx-gomod,23,0,36,23,0,36,23,0,0,23,0,0,23,0,6,12,11,17
couchbase__moss,syft,4,0,0,4,0,0,3,1,0,3,1,0,3,1,0,3,1,0
couchbase__moss,trivy,4,0,0,4,0,0,3,1,0,3,1,0,3,1,0,3,1,0
couchbase__moss,cdxgen,3,0,1,3,0,1,3,0,0,3,0,0,3,0,0,3,0,0
couchbase__moss,cyclonedx-gomod,4,0,0,4,0,0,3,1,0,3,1,0,3,1,0,3,1,0
create-go-app__cli,syft,50,0,14,50,0,14,28,22,0,28,22,0,27,23,0,9,41,18
create-go-app__cli,trivy,30,0,34,30,0,34,28,2,0,28,2,0,27,3,0,9,21,18
create-go-app__cli,cdxgen,28,0,36,28,0,36,28,0,0,28,0,0,27,1,0,9,19,18
create-go-app__cli,cyclonedx-gomod,30,0,34,30,0,34,28,2,0,28,2,0,27,3,0,9,21,18
cristalhq__aconfig,syft,1,10,0,1,10,0,1,10,0,1,10,0,1,10,0,1,10,0
cristalhq__aconfig,trivy,1,10,0,1,10,0,1,10,0,1,10,0,1,10,0,1,10,0
cristalhq__aconfig,cdxgen,1,4,0,1,4,0,1,4,0,1,4,0,1,4,0,1,4,0
cristalhq__aconfig,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
cswank__kcli,syft,14,5,29,12,8,31,13,6,17,13,7,17,13,6,16,3,17,26
cswank__kcli,trivy,43,10,0,42,30,1,30,23,0,30,42,0,29,24,0,29,43,0
cswank__kcli,cdxgen,27,4,16,27,5,16,30,1,0,30,2,0,27,4,2,13,19,16
cswank__kcli,cyclonedx-gomod,27,3,16,27,3,16,30,0,0,30,0,0,27,3,2,12,18,17
ctreminiom__go-atlassian,syft,13,0,0,13,0,0,11,2,0,11,2,0,11,2,0,10,3,1
ctreminiom__go-atlassian,trivy,11,0,2,11,0,2,11,0,0,11,0,0,11,0,0,10,1,1
ctreminiom__go-atlassian,cdxgen,11,0,2,11,0,2,11,0,0,11,0,0,11,0,0,10,1,1
ctreminiom__go-atlassian,cyclonedx-gomod,10,0,3,10,0,3,10,0,1,10,0,1,10,0,1,9,1,2
cucumber__godog,syft,17,6,6,17,8,6,12,11,0,12,13,0,12,11,0,8,17,4
cucumber__godog,trivy,23,15,0,23,16,0,12,26,0,12,27,0,12,26,0,8,31,4
cucumber__godog,cdxgen,12,2,11,12,2,11,12,2,0,12,2,0,12,2,0,8,6,4
cucumber__godog,cyclonedx-gomod,10,0,13,10,0,13,9,1,3,9,1,3,9,1,3,5,5,7
cweill__gotests,syft,4,0,4,4,0,4,3,1,0,3,1,0,3,1,0,3,1,0
cweill__gotests,trivy,3,0,5,3,0,5,3,0,0,3,0,0,3,0,0,3,0,0
cweill__gotests,cdxgen,3,0,5,3,0,5,3,0,0,3,0,0,3,0,0,3,0,0
cweill__gotests,cyclonedx-gomod,3,0,5,3,0,5,3,0,0,3,0,0,3,0,0,3,0,0
cybergarage__go-job,syft,74,0,63,74,0,63,48,26,0,48,26,0,48,26,0,40,34,8
cybergarage__go-job,trivy,50,0,87,50,0,87,48,2,0,48,2,0,48,2,0,40,10,8
cybergarage__go-job,cdxgen,48,0,89,48,0,89,48,0,0,48,0,0,48,0,0,40,8,8
cybergarage__go-job,cyclonedx-gomod,49,0,88,49,0,88,48,1,0,48,1,0,48,1,0,40,9,8
cybertec-postgresql__pg_timetable,syft,95,0,16,95,0,16,69,26,0,69,26,0,13,82,9,2,93,20
cybertec-postgresql__pg_timetable,trivy,78,0,33,78,0,33,69,9,0,69,9,0,12,66,10,2,76,20
cybertec-postgresql__pg_timetable,cdxgen,69,0,42,69,0,42,69,0,0,69,0,0,12,57,10,2,67,20
cybertec-postgresql__pg_timetable,cyclonedx-gomod,74,0,37,74,0,37,66,8,3,66,8,3,9,65,13,2,72,20
cyruzin__golang-tmdb,syft,6,0,1,6,0,1,1,5,0,1,5,0,5,1,0,5,1,0
cyruzin__golang-tmdb,trivy,5,0,2,5,0,2,1,4,0,1,4,0,5,0,0,5,0,0
cyruzin__golang-tmdb,cdxgen,1,0,6,1,0,6,1,0,0,1,0,0,1,0,4,1,0,4
cyruzin__golang-tmdb,cyclonedx-gomod,1,0,6,1,0,6,1,0,0,1,0,0,1,0,4,1,0,4
cyucelen__marker,syft,9,0,1,9,0,1,4,5,0,4,5,0,8,1,0,8,1,0
cyucelen__marker,trivy,10,0,0,10,0,0,4,6,0,4,6,0,8,2,0,8,2,0
cyucelen__marker,cdxgen,4,0,6,4,0,6,4,0,0,4,0,0,4,0,4,4,0,4
cyucelen__marker,cyclonedx-gomod,4,0,6,4,0,6,4,0,0,4,0,0,4,0,4,4,0,4
cyucelen__walker,syft,24,0,21,24,0,21,3,21,0,3,21,0,20,4,0,20,4,0
cyucelen__walker,trivy,20,0,25,20,0,25,3,17,0,3,17,0,20,0,0,20,0,0
cyucelen__walker,cdxgen,3,0,42,3,0,42,3,0,0,3,0,0,3,0,17,3,0,17
cyucelen__walker,cyclonedx-gomod,3,0,42,3,0,42,3,0,0,3,0,0,3,0,17,3,0,17
dancannon__gorethink,syft,18,0,11,18,0,11,14,4,0,14,4,0,10,8,6,4,14,12
dancannon__gorethink,trivy,17,0,12,17,0,12,14,3,0,14,3,0,10,7,6,4,13,12
dancannon__gorethink,cdxgen,14,0,15,14,0,15,14,0,0,14,0,0,9,5,7,4,10,12
dancannon__gorethink,cyclonedx-gomod,14,0,15,14,0,15,14,0,0,14,0,0,9,5,7,4,10,12
danielgtaylor__huma,syft,72,3,20,72,3,20,47,28,0,47,28,0,51,24,0,32,43,19
danielgtaylor__huma,trivy,65,3,27,65,3,27,47,21,0,47,21,0,51,17,0,32,36,19
danielgtaylor__huma,cdxgen,47,2,45,47,2,45,47,2,0,47,2,0,47,2,4,28,21,23
danielgtaylor__huma,cyclonedx-gomod,58,0,34,58,0,34,46,12,1,46,12,1,46,12,5,27,31,24
datarootsio__tf-profile,syft,16,0,3,16,0,3,7,9,0,7,9,0,11,5,0,11,5,0
datarootsio__tf-profile,trivy,12,0,7,12,0,7,7,5,0,7,5,0,11,1,0,11,1,0
datarootsio__tf-profile,cdxgen,7,0,12,7,0,12,7,0,0,7,0,0,7,0,4,7,0,4
datarootsio__tf-profile,cyclonedx-gomod,8,0,11,8,0,11,7,1,0,7,1,0,7,1,4,7,1,4
davrodpin__mole,syft,30,0,22,30,0,22,17,13,0,17,13,0,12,18,0,11,19,1
davrodpin__mole,trivy,52,0,0,52,0,0,17,35,0,17,35,0,12,40,0,11,41,1
davrodpin__mole,cdxgen,17,0,35,17,0,35,17,0,0,17,0,0,11,6,1,10,7,2
davrodpin__mole,cyclonedx-gomod,20,0,32,20,0,32,17,3,0,17,3,0,11,9,1,10,10,2
ddddddO__gtree,syft,13,3,2,13,7,2,8,8,0,8,12,0,9,7,0,7,13,2
ddddddO__gtree,trivy,9,3,6,9,7,6,8,4,0,8,8,0,9,3,0,7,9,2
ddddddO__gtree,cdxgen,8,0,7,8,4,7,8,0,0,8,4,0,8,0,1,6,6,3
ddddddO__gtree,cyclonedx-gomod,8,0,7,8,0,7,8,0,0,8,0,0,8,0,1,6,2,3
ddosify__alaz,syft,131,28,193,130,30,194,108,51,7,107,53,8,111,48,7,110,50,8
ddosify__alaz,trivy,119,7,205,118,8,206,108,18,7,107,19,8,111,15,7,110,16,8
ddosify__alaz,cdxgen,115,0,209,115,0,209,115,0,0,115,0,0,115,0,3,115,0,3
ddosify__alaz,cyclonedx-gomod,112,7,212,111,8,213,106,13,9,105,14,10,106,13,12,105,14,13
deatil__go-jwt,syft,2,0,3,2,0,3,2,0,0,2,0,0,2,0,0,0,2,2
deatil__go-jwt,trivy,2,0,3,2,0,3,2,0,0,2,0,0,2,0,0,0,2,2
deatil__go-jwt,cdxgen,2,0,3,2,0,3,2,0,0,2,0,0,2,0,0,0,2,2
deatil__go-jwt,cyclonedx-gomod,2,0,3,2,0,3,2,0,0,2,0,0,2,0,0,0,2,2
deckarep__golang-set,syft,3,0,10,3,0,10,1,2,0,1,2,0,1,2,0,1,2,0
deckarep__golang-set,trivy,13,0,0,13,0,0,1,12,0,1,12,0,1,12,0,1,12,0
deckarep__golang-set,cdxgen,1,0,12,1,0,12,1,0,0,1,0,0,1,0,0,1,0,0
deckarep__golang-set,cyclonedx-gomod,1,0,12,1,0,12,1,0,0,1,0,0,1,0,0,1,0,0
deepaksinghvi__cdule,syft,51,0,72,51,0,72,34,17,0,34,17,0,38,13,0,33,18,5
deepaksinghvi__cdule,trivy,43,0,80,43,0,80,34,9,0,34,9,0,38,5,0,33,10,5
deepaksinghvi__cdule,cdxgen,34,0,89,34,0,89,34,0,0,34,0,0,32,2,6,27,7,11
deepaksinghvi__cdule,cyclonedx-gomod,34,0,89,34,0,89,34,0,0,34,0,0,32,2,6,27,7,11
deepmap__oapi-codegen,syft,39,115,15,36,121,18,16,138,0,16,141,0,20,134,3,9,148,14
deepmap__oapi-codegen,trivy,25,94,29,22,97,32,16,103,0,16,103,0,20,99,3,9,110,14
deepmap__oapi-codegen,cdxgen,21,76,33,18,79,36,16,81,0,16,81,0,17,80,6,6,91,17
deepmap__oapi-codegen,cyclonedx-gomod,16,0,38,16,0,38,16,0,0,16,0,0,15,1,8,5,11,18
denisenkom__go-mssqldb,syft,14,6,7,9,11,12,14,6,0,14,6,0,9,11,0,6,14,3
denisenkom__go-mssqldb,trivy,21,11,0,12,20,9,14,18,0,14,18,0,9,23,0,6,26,3
denisenkom__go-mssqldb,cdxgen,9,5,12,6,8,15,14,0,0,14,0,0,9,5,0,6,8,3
denisenkom__go-mssqldb,cyclonedx-gomod,9,6,12,6,9,15,14,1,0,14,1,0,9,6,0,6,9,3
dennwc__dom,syft,32,8,2,32,10,2,25,15,0,25,17,0,25,15,0,25,17,0
dennwc__dom,trivy,34,18,0,34,20,0,25,27,0,25,29,0,25,27,0,25,29,0
dennwc__dom,cdxgen,26,4,8,26,4,8,25,5,0,25,5,0,25,5,0,25,5,0
dennwc__dom,cyclonedx-gomod,27,1,7,27,1,7,24,4,1,24,4,1,24,4,1,24,4,1
derailed__k9s,syft,492,0,428,492,0,428,370,122,0,370,122,0,372,120,0,372,120,0
derailed__k9s,trivy,386,0,534,386,0,534,370,16,0,370,16,0,372,14,0,372,14,0
derailed__k9s,cdxgen,370,0,550,370,0,550,370,0,0,370,0,0,370,0,2,370,0,2
derailed__k9s,cyclonedx-gomod,379,0,541,379,0,541,368,11,2,368,11,2,368,11,4,368,11,4
derekparker__delve,syft,30,0,7,30,0,7,19,11,0,19,11,0,20,10,0,20,10,0
derekparker__delve,trivy,22,0,15,22,0,15,19,3,0,19,3,0,20,2,0,20,2,0
derekparker__delve,cdxgen,22,0,15,22,0,15,19,3,0,19,3,0,20,2,0,20,2,0
derekparker__delve,cyclonedx-gomod,21,0,16,21,0,16,19,2,0,19,2,0,19,2,1,19,2,1
dghubble__gologin,syft,47,7,27,47,30,27,34,20,0,34,43,0,0,54,0,0,77,0
dghubble__gologin,trivy,37,6,37,36,25,38,34,9,0,34,27,0,0,43,0,0,61,0
dghubble__gologin,cdxgen,37,5,37,36,24,38,34,8,0,34,26,0,0,42,0,0,60,0
dghubble__gologin,cyclonedx-gomod,34,0,40,34,0,40,34,0,0,34,0,0,0,34,0,0,34,0
dghubble__sling,syft,2,3,0,2,5,0,1,4,0,1,6,0,1,4,0,1,6,0
dghubble__sling,trivy,2,3,0,2,4,0,1,4,0,1,5,0,1,4,0,1,5,0
dghubble__sling,cdxgen,1,2,1,1,3,1,1,2,0,1,3,0,1,2,0,1,3,0
dghubble__sling,cyclonedx-gomod,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1
dgraph-io__badger,syft,30,0,5,30,0,5,18,12,0,18,12,0,22,8,0,22,8,0
dgraph-io__badger,trivy,23,0,12,23,0,12,18,5,0,18,5,0,22,1,0,22,1,0
dgraph-io__badger,cdxgen,18,0,17,18,0,17,18,0,0,18,0,0,18,0,4,18,0,4
dgraph-io__badger,cyclonedx-gomod,19,0,16,19,0,16,18,1,0,18,1,0,18,1,4,18,1,4
dgraph-io__ristretto,syft,9,0,1,9,0,1,3,6,0,3,6,0,8,1,0,8,1,0
dgraph-io__ristretto,trivy,8,0,2,8,0,2,3,5,0,3,5,0,8,0,0,8,0,0
dgraph-io__ristretto,cdxgen,3,0,7,3,0,7,3,0,0,3,0,0,3,0,5,3,0,5
dgraph-io__ristretto,cyclonedx-gomod,3,0,7,3,0,7,3,0,0,3,0,0,3,0,5,3,0,5
didip__tollbooth,syft,6,0,0,6,0,0,1,5,0,1,5,0,1,5,0,1,5,0
didip__tollbooth,trivy,6,0,0,6,0,0,1,5,0,1,5,0,1,5,0,1,5,0
didip__tollbooth,cdxgen,1,0,5,1,0,5,1,0,0,1,0,0,1,0,0,1,0,0
didip__tollbooth,cyclonedx-gomod,1,0,5,1,0,5,1,0,0,1,0,0,1,0,0,1,0,0
dikhan__terraform-provider-openapi,syft,117,2,104,112,18,109,65,54,0,65,65,0,72,47,1,55,75,18
dikhan__terraform-provider-openapi,trivy,186,77,35,171,137,50,65,198,0,65,243,0,73,190,0,57,251,16
dikhan__terraform-provider-openapi,cdxgen,79,0,142,76,5,145,65,14,0,65,16,0,66,13,7,49,32,24
dikhan__terraform-provider-openapi,cyclonedx-gomod,66,0,155,66,0,155,65,1,0,65,1,0,63,3,10,45,21,28
dimiro1__banner,syft,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0
dimiro1__banner,trivy,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0
dimiro1__banner,cdxgen,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0
dimiro1__banner,cyclonedx-gomod,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0
dimiro1__health,syft,4,0,0,4,0,0,1,3,0,1,3,0,3,1,0,3,1,0
dimiro1__health,trivy,4,0,0,4,0,0,1,3,0,1,3,0,3,1,0,3,1,0
dimiro1__health,cdxgen,1,0,3,1,0,3,1,0,0,1,0,0,1,0,2,1,0,2
dimiro1__health,cyclonedx-gomod,1,0,3,1,0,3,1,0,0,1,0,0,1,0,2,1,0,2
dimuska139__rawg-sdk-go,syft,7,0,1,7,0,1,1,6,0,1,6,0,6,1,0,6,1,0
dimuska139__rawg-sdk-go,trivy,8,0,0,8,0,0,1,7,0,1,7,0,6,2,0,6,2,0
dimuska139__rawg-sdk-go,cdxgen,1,0,7,1,0,7,1,0,0,1,0,0,1,0,5,1,0,5
dimuska139__rawg-sdk-go,cyclonedx-gomod,1,0,7,1,0,7,1,0,0,1,0,0,1,0,5,1,0,5
dinakars777__moody,syft,4,0,25,4,0,25,3,1,0,3,1,0,3,1,0,3,1,0
dinakars777__moody,trivy,4,0,25,4,0,25,3,1,0,3,1,0,3,1,0,3,1,0
dinakars777__moody,cdxgen,4,0,25,4,0,25,3,1,0,3,1,0,3,1,0,3,1,0
dinakars777__moody,cyclonedx-gomod,4,0,25,4,0,25,3,1,0,3,1,0,3,1,0,3,1,0
disintegration__imaging,syft,2,0,0,2,0,0,1,1,0,1,1,0,1,1,0,1,1,0
disintegration__imaging,trivy,2,0,0,2,0,0,1,1,0,1,1,0,1,1,0,1,1,0
disintegration__imaging,cdxgen,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0
disintegration__imaging,cyclonedx-gomod,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0
dixonwille__wlog,syft,9,0,1,9,0,1,1,8,0,1,8,0,5,4,0,4,5,1
dixonwille__wlog,trivy,10,0,0,10,0,0,1,9,0,1,9,0,5,5,0,4,6,1
dixonwille__wlog,cdxgen,1,0,9,1,0,9,1,0,0,1,0,0,1,0,4,1,0,4
dixonwille__wlog,cyclonedx-gomod,1,0,9,1,0,9,1,0,0,1,0,0,1,0,4,1,0,4
dixonwille__wmenu,syft,12,0,1,12,0,1,4,8,0,4,8,0,7,5,1,1,11,7
dixonwille__wmenu,trivy,13,0,0,13,0,0,4,9,0,4,9,0,7,6,1,1,12,7
dixonwille__wmenu,cdxgen,4,0,9,4,0,9,4,0,0,4,0,0,4,0,4,0,4,8
dixonwille__wmenu,cyclonedx-gomod,4,0,9,4,0,9,4,0,0,4,0,0,4,0,4,0,4,8
dnaeon__go-vcr,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
dnaeon__go-vcr,trivy,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
dnaeon__go-vcr,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
dnaeon__go-vcr,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
dnnrly__abbreviate,syft,19,0,153,19,0,153,2,17,0,2,17,0,14,5,0,12,7,2
dnnrly__abbreviate,trivy,15,0,157,15,0,157,2,13,0,2,13,0,14,1,0,12,3,2
dnnrly__abbreviate,cdxgen,2,0,170,2,0,170,2,0,0,2,0,0,2,0,12,1,1,13
dnnrly__abbreviate,cyclonedx-gomod,3,0,169,3,0,169,2,1,0,2,1,0,2,1,12,1,2,13
dnnrly__hoofli,syft,32,0,186,32,0,186,9,23,0,9,23,0,22,10,0,22,10,0
dnnrly__hoofli,trivy,218,0,0,218,0,0,9,209,0,9,209,0,22,196,0,22,196,0
dnnrly__hoofli,cdxgen,9,0,209,9,0,209,9,0,0,9,0,0,9,0,13,9,0,13
dnnrly__hoofli,cyclonedx-gomod,9,0,209,9,0,209,9,0,0,9,0,0,9,0,13,9,0,13
dnnrly__httpref,syft,38,0,145,38,0,145,20,18,0,20,18,0,7,31,2,2,36,7
dnnrly__httpref,trivy,183,0,0,183,0,0,20,163,0,20,163,0,7,176,2,2,181,7
dnnrly__httpref,cdxgen,20,0,163,20,0,163,20,0,0,20,0,0,4,16,5,0,20,9
dnnrly__httpref,cyclonedx-gomod,21,0,162,21,0,162,20,1,0,20,1,0,4,17,5,0,21,9
dnnrly__wait-for,syft,28,0,38,28,0,38,10,18,0,10,18,0,22,6,0,22,6,0
dnnrly__wait-for,trivy,66,0,0,66,0,0,10,56,0,10,56,0,22,44,0,22,44,0
dnnrly__wait-for,cdxgen,10,0,56,10,0,56,10,0,0,10,0,0,10,0,12,10,0,12
dnnrly__wait-for,cyclonedx-gomod,10,0,56,10,0,56,10,0,0,10,0,0,10,0,12,10,0,12
dnote__dnote,syft,40,0,11,40,0,11,29,11,0,29,11,0,0,40,0,0,40,0
dnote__dnote,trivy,34,0,17,34,0,17,29,5,0,29,5,0,0,34,0,0,34,0
dnote__dnote,cdxgen,29,0,22,29,0,22,29,0,0,29,0,0,0,29,0,0,29,0
dnote__dnote,cyclonedx-gomod,31,0,20,31,0,20,29,2,0,29,2,0,0,31,0,0,31,0
doganarif__govisual,syft,50,0,36,50,0,36,36,14,0,36,14,0,36,14,0,36,14,0
doganarif__govisual,trivy,36,0,50,36,0,50,36,0,0,36,0,0,36,0,0,36,0,0
doganarif__govisual,cdxgen,36,0,50,36,0,50,36,0,0,36,0,0,36,0,0,36,0,0
doganarif__govisual,cyclonedx-gomod,36,0,50,36,0,50,36,0,0,36,0,0,36,0,0,36,0,0
dominikh__go-tools,syft,9,1,3,9,1,3,8,2,0,8,2,0,8,2,0,4,6,4
dominikh__go-tools,trivy,8,1,4,8,1,4,8,1,0,8,1,0,8,1,0,4,5,4
