repo,tool,all_n_tp,all_n_fp,all_n_fn,all_v_tp,all_v_fp,all_v_fn,imp_n_tp,imp_n_fp,imp_n_fn,imp_v_tp,imp_v_fp,imp_v_fn,impT_n_tp,impT_n_fp,impT_n_fn,impT_v_tp,impT_v_fp,impT_v_fn
Andrew-M-C__go.jsonvalue,trivy,10,0,0,10,0,0,1,9,0,1,9,0,4,6,0,4,6,0
Andrew-M-C__go.jsonvalue,cdxgen,1,0,9,1,0,9,1,0,0,1,0,0,1,0,3,1,0,3
Andrew-M-C__go.jsonvalue,cyclonedx-gomod,1,0,9,1,0,9,1,0,0,1,0,0,1,0,3,1,0,3
Antonboom__testifylint,syft,6,16,2,4,19,4,3,19,0,3,20,0,3,19,0,3,20,0
Antonboom__testifylint,trivy,4,12,4,3,14,5,3,13,0,3,14,0,3,13,0,3,14,0
Antonboom__testifylint,cdxgen,4,11,4,3,13,5,3,12,0,3,13,0,3,12,0,3,13,0
Antonboom__testifylint,cyclonedx-gomod,2,0,6,2,0,6,2,0,1,2,0,1,2,0,1,2,0,1
Antonito__gfile,syft,40,0,11,40,0,11,31,9,0,31,9,0,35,5,0,35,5,0
Antonito__gfile,trivy,36,0,15,36,0,15,31,5,0,31,5,0,35,1,0,35,1,0
Antonito__gfile,cdxgen,31,0,20,31,0,20,31,0,0,31,0,0,31,0,4,31,0,4
Antonito__gfile,cyclonedx-gomod,32,0,19,32,0,19,31,1,0,31,1,0,31,1,4,31,1,4
AppsFlyer__go-sundheit,syft,10,5,1,10,7,1,1,14,0,1,16,0,7,8,0,7,10,0
AppsFlyer__go-sundheit,trivy,11,24,0,11,26,0,1,34,0,1,36,0,7,28,0,7,30,0
AppsFlyer__go-sundheit,cdxgen,1,1,10,1,1,10,1,1,0,1,1,0,1,1,6,1,1,6
AppsFlyer__go-sundheit,cyclonedx-gomod,1,0,10,1,0,10,1,0,0,1,0,0,1,0,6,1,0,6
Balaji01-4D__pgxcli,syft,130,0,34,130,0,34,63,67,0,63,67,0,65,65,1,63,67,3
Balaji01-4D__pgxcli,trivy,112,0,52,112,0,52,63,49,0,63,49,0,65,47,1,63,49,3
Balaji01-4D__pgxcli,cdxgen,63,0,101,63,0,101,63,0,0,63,0,0,62,1,4,60,3,6
Balaji01-4D__pgxcli,cyclonedx-gomod,64,0,100,64,0,100,63,1,0,63,1,0,62,2,4,60,4,6
Bilibili__discovery,syft,39,0,172,39,0,172,23,16,0,23,16,0,27,12,0,27,12,0
Bilibili__discovery,trivy,211,0,0,211,0,0,23,188,0,23,188,0,27,184,0,27,184,0
Bilibili__discovery,cdxgen,23,0,188,23,0,188,23,0,0,23,0,0,23,0,4,23,0,4
Bilibili__discovery,cyclonedx-gomod,26,0,185,26,0,185,23,3,0,23,3,0,23,3,4,23,3,4
Boeing__config-file-validator,syft,54,0,30,53,1,31,39,15,0,38,16,1,43,11,1,35,19,9
Boeing__config-file-validator,trivy,45,0,39,44,1,40,39,6,0,38,7,1,43,2,1,35,10,9
Boeing__config-file-validator,cdxgen,39,0,45,39,0,45,39,0,0,39,0,0,38,1,6,31,8,13
Boeing__config-file-validator,cyclonedx-gomod,41,0,43,40,1,44,39,2,0,38,3,1,39,2,5,31,10,13
Breeze0806__go-etl,syft,75,0,28,75,0,28,54,21,0,54,21,0,54,21,0,54,21,0
Breeze0806__go-etl,trivy,55,0,48,55,0,48,54,1,0,54,1,0,54,1,0,54,1,0
Breeze0806__go-etl,cdxgen,54,0,49,54,0,49,54,0,0,54,0,0,54,0,0,54,0,0
Breeze0806__go-etl,cyclonedx-gomod,55,0,48,55,0,48,54,1,0,54,1,0,54,1,0,54,1,0
BrianLeishman__go-imap,syft,30,0,7,30,0,7,26,4,0,26,4,0,26,4,0,19,11,7
BrianLeishman__go-imap,trivy,26,0,11,26,0,11,26,0,0,26,0,0,26,0,0,19,7,7
BrianLeishman__go-imap,cdxgen,26,0,11,26,0,11,26,0,0,26,0,0,26,0,0,19,7,7
BrianLeishman__go-imap,cyclonedx-gomod,26,0,11,26,0,11,26,0,0,26,0,0,26,0,0,19,7,7
C2FO__vfs,syft,134,6,143,134,11,143,88,52,0,88,57,0,97,43,0,41,104,56
C2FO__vfs,trivy,101,6,176,101,7,176,88,19,0,88,20,0,97,10,0,41,67,56
C2FO__vfs,cdxgen,91,3,186,91,4,186,88,6,0,88,7,0,89,5,8,33,62,64
C2FO__vfs,cyclonedx-gomod,88,0,189,88,0,189,87,1,1,87,1,1,86,2,11,32,56,65
CalebQ42__bbConvert,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
CalebQ42__bbConvert,trivy,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
CalebQ42__bbConvert,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
CalebQ42__bbConvert,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
ClickHouse__clickhouse-go,syft,78,0,28,78,0,28,56,22,0,56,22,0,55,23,3,34,44,24
ClickHouse__clickhouse-go,trivy,64,0,42,64,0,42,56,8,0,56,8,0,55,9,3,34,30,24
ClickHouse__clickhouse-go,cdxgen,56,0,50,56,0,50,56,0,0,56,0,0,54,2,4,34,22,24
ClickHouse__clickhouse-go,cyclonedx-gomod,63,0,43,63,0,43,56,7,0,56,7,0,54,9,4,34,29,24
Clivern__Beaver,syft,67,0,105,67,0,105,41,26,0,41,26,0,38,29,2,9,58,31
Clivern__Beaver,trivy,55,0,117,55,0,117,41,14,0,41,14,0,38,17,2,9,46,31
Clivern__Beaver,cdxgen,41,0,131,41,0,131,41,0,0,41,0,0,36,5,4,9,32,31
Clivern__Beaver,cyclonedx-gomod,51,0,121,51,0,121,41,10,0,41,10,0,36,15,4,9,42,31
CloudyKit__jet,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
CloudyKit__jet,trivy,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
CloudyKit__jet,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
CloudyKit__jet,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
