github.com/PuerkitoBio/goquery	v1.8.0
github.com/andybalholm/cascadia	v1.3.1
github.com/davecgh/go-spew	v1.1.0
github.com/google/go-cmp	v0.5.8
github.com/kkyr/assert	v0.2.1
github.com/piprate/json-gold	v0.4.1
github.com/pmezard/go-difflib	v1.0.0
github.com/pquerna/cachecontrol	v0.0.0-20180517163645-1555304b9b35
github.com/senseyeio/duration	v0.0.0-20180430131211-7c2a214ada46
github.com/stretchr/testify	v1.4.0
golang.org/x/net	v0.8.0
gopkg.in/yaml.v2	v2.2.8
