github.com/andybalholm/cascadia	v1.3.1
github.com/google/go-cmp	v0.5.8
github.com/kkyr/assert	v0.2.1
github.com/piprate/json-gold	v0.4.1
github.com/pquerna/cachecontrol	v0.0.0-20180517163645-1555304b9b35
github.com/puerkitobio/goquery	v1.8.0
github.com/senseyeio/duration	v0.0.0-20180430131211-7c2a214ada46
golang.org/x/net	v0.8.0
gopkg.in/yaml.v2	v2.2.8
