github.com/bitly/go-simplejson	v0.5.1
github.com/fsnotify/fsnotify	v1.6.0
github.com/hashicorp/hcl	v1.0.0
github.com/magiconair/properties	v1.8.7
github.com/mitchellh/mapstructure	v1.5.0
github.com/parnurzeal/gorequest	v0.2.16
github.com/pelletier/go-toml/v2	v2.0.8
github.com/pkg/errors	v0.9.1
github.com/rapito/go-spotify	v0.0.0-20201203225102-8089a3ff3172
github.com/spf13/afero	v1.9.5
github.com/spf13/cast	v1.5.1
github.com/spf13/jwalterweatherman	v1.1.0
github.com/spf13/pflag	v1.0.5
github.com/spf13/viper	v1.16.0
github.com/subosito/gotenv	v1.4.2
golang.org/x/net	v0.14.0
golang.org/x/sys	v0.11.0
golang.org/x/text	v0.12.0
gopkg.in/ini.v1	v1.67.0
gopkg.in/yaml.v3	v3.0.1
moul.io/http2curl	v1.0.0
