repo,sha,stratum,status,n_gt_imported,n_gt_impT,n_gt_all,syft_state,trivy_state,cdxgen_state,cyclonedx-gomod_state,n_syft,n_trivy,n_cdxgen,n_cyclonedx-gomod,golist_real_errors,golist_progress_lines,error_kinds
novalagung__gubrak,b516a7e51d8890f3a693eacedef231328fd79fd7,impT_nonempty,OK,0,5,7,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,6,5,5,0,0,0,""
o1egl__fwencoder,2c45044a2d338828e8b586881b60fb7cb9b8a991,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
olvrng__ujson,772b59d2318e0b7d164303cf297c35067f24269e,impT_nonempty,OK,0,1,1,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,1,78,2,0,0,0,""
otiai10__openaigo,12adbec3b25bf6efe7dc0d3abdb9488a2879fc35,impT_nonempty,OK,0,1,1,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,1,1,1,0,0,0,""
pardnchiu__go-scheduler,c62a9e53d25477b58c2fbe4a011f8eacf60298f8,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
patrikeh__go-deep,a2775168ab3dd45487c31cc05fb733d55d21853e,impT_nonempty,OK,0,3,3,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,3,3,3,0,0,0,""
peczenyj__xpool,371a6d4bd6d485b79468043ef948381148ab453a,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
pieterclaerhout__go-waitgroup,0969bb4d154e7bcbd0461f6ffe262cd3f58a0d16,impT_nonempty,OK,0,5,7,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,6,7,2,0,0,0,""
piglig__go-qr,832517b8dd4c5f48188211c0c6691c6ac38b0363,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_empty,ok_empty,12,11,0,0,0,0,""
plar__go-adaptive-radix-tree,bdbea33ddf359a660e4f7739e09ed4d003bb6814,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
prashantgupta24__mac-sleep-notifier,4660ee703786c1488c0cf3904cb8e9f18c23070c,impT_nonempty,OK,0,3,4,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,4,4,4,0,0,0,""
qmuntal__gltf,12f8bef4dafe34c8588fcc640f09fc9828171906,impT_nonempty,OK,0,1,1,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,1,1,1,0,0,0,""
qmuntal__opc,8cd781bb17480332ecf9332e9acdbd85aa867970,impT_nonempty,OK,0,4,4,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,4,4,1,0,0,0,""
rabbitmq__amqp091-go,1b0bfd88360b81b5d03da60ddecbb39329019bcb,impT_empty,OK,0,0,7,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,1,5,1,0,0,0,""
rbretecher__go-postman-collection,093c43487f1d8ca71ffcb5826874124f468fb768,impT_nonempty,OK,0,4,9,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,7,9,4,0,0,0,""
rekby__objwalker,5a696cd98490792fc785da588fe01b6c03f5f5c2,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,6,5,5,0,0,0,""
rfberaldo__sqlz,3015f2d14bb903ea561ed4a1d0d34d2d16594b13,impT_nonempty,OK,0,13,24,ok_nonempty,ok_nonempty,na,ok_empty,21,19,NA,0,0,0,""
rjNemo__underscore,a29f64b7005a931dc0dd43b73aa3c96338ca0cf4,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
romshark__jscan,6712838b7a4ec3dcf309e4c636571bf4087651b2,impT_nonempty,OK,0,4,10,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,7,6,6,0,0,0,""
sanketplus__go-mysql-lock,db609c2b69f9af7a6037b449e5b3cf5c73aedd33,impT_nonempty,OK,0,6,20,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,9,20,3,0,0,0,""
scigolib__hdf5,8223748b68858d11377e14a1cde8c6e9e377c1d4,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
scryinfo__dp,f60bf891385f1a47fe3932d2aa7af0d251665f86,impT_empty,OK,0,0,154,ok_nonempty,ok_nonempty,ok_nonempty,na,139,319,296,NA,2,0,"cannot_find_module:2"
sdqri__effdsl,05b936e5776a806bdab699ddec32350cd07d8263,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
sinhashubham95__jsonic,ce3f9dde4351789c49747d3fa32b1f4d62e51971,impT_nonempty,OK,0,4,10,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,7,10,5,0,0,0,""
sixafter__aes-ctr-drbg,1fd57164d9f6d927c2e466b8dcb714fa63c475f8,impT_nonempty,OK,0,5,7,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,6,5,5,0,0,0,""
skovtunenko__graterm,a294de03baa5e5bfde0d1d0ced418b7ba808fbf3,impT_nonempty,OK,0,1,7,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,5,1,0,0,0,""
srfrog__dict,1ce666229c0caee343f0f5c6e4b216e1edabee6c,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,6,1,0,0,0,""
ssgreg__repeat,803b320219f9425202589597075ba13d578cf12b,impT_nonempty,OK,0,3,4,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,4,4,4,0,0,0,""
striker2000__petrovich,090c9a15e6ac4fe9920331f076def62e364f80c1,impT_nonempty,OK,0,3,3,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,3,3,3,0,0,0,""
subpop__go-ini,9ad655d20cf6b0986788f1c72a52151dfe48e71a,impT_nonempty,OK,0,1,1,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,1,1,1,0,0,0,""
thoas__go-funk,045ef11f8f9f4d83a03adbd0eea420773c6c68bc,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,6,1,0,0,0,""
