dario.cat/mergo	v1.0.2
foo.bar/a	
foo.bar/d/v2	
foo.bar/d/v3	
github.com/bobg/errors	v1.3.0
github.com/cloudflare/circl	v1.6.3
github.com/cyphar/filepath-securejoin	v0.6.1
github.com/emirpasic/gods	v1.18.1
github.com/go-git/gcfg	v1.5.1-0.20230307220236-3a3c6141e376
github.com/go-git/go-billy/v5	v5.9.0
github.com/go-git/go-git/v5	v5.19.0
github.com/golang/groupcache	v0.0.0-20241129210726-2c02b8208cf8
github.com/google/go-github/v50	v50.2.0
github.com/google/go-querystring	v1.1.0
github.com/jbenet/go-context	v0.0.0-20150711004518-d14ea06fba99
github.com/kevinburke/ssh_config	v1.6.0
github.com/klauspost/cpuid/v2	v2.3.0
github.com/microsoft/go-winio	v0.6.2
github.com/pjbgf/sha1cd	v0.6.0
github.com/protonmail/go-crypto	v1.4.1
github.com/sergi/go-diff	v1.4.0
github.com/skeema/knownhosts	v1.3.2
github.com/xanzy/ssh-agent	v0.3.3
golang.org/x/crypto	v0.51.0
golang.org/x/mod	v0.36.0
golang.org/x/net	v0.54.0
golang.org/x/oauth2	v0.36.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.44.0
golang.org/x/tools	v0.45.0
gopkg.in/warnings.v0	v0.1.2
