github.com/cockroachdb/errors	v1.11.1
github.com/cockroachdb/logtags	v0.0.0-20230118201751-21c54148d20b
github.com/cockroachdb/redact	v1.1.5
github.com/getsentry/sentry-go	v0.18.0
github.com/gogo/protobuf	v1.3.2
github.com/hashicorp/errwrap	v1.0.0
github.com/hashicorp/go-multierror	v1.1.1
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/pkg/errors	v0.9.1
github.com/rogpeppe/go-internal	v1.9.0
github.com/rs/dnscache	v0.0.0-20230804202142-fc85eb664529
golang.org/x/sync	v0.0.0-20201020160332-67f06af15bc9
golang.org/x/sys	v0.5.0
golang.org/x/text	v0.7.0
