github.com/kazhuravlev/options-gen
github.com/davecgh/go-spew v1.1.1
github.com/gabriel-vasile/mimetype v1.4.13
github.com/go-playground/assert/v2 v2.2.0
github.com/go-playground/locales v0.14.1
github.com/go-playground/universal-translator v0.18.1
github.com/go-playground/validator/v10 v10.30.1
github.com/google/go-cmp v0.6.0
github.com/leodido/go-urn v1.4.0
github.com/pmezard/go-difflib v1.0.0
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
github.com/yuin/goldmark v1.4.13
golang.org/x/crypto v0.48.0
golang.org/x/mod v0.33.0
golang.org/x/net v0.50.0
golang.org/x/sync v0.19.0
golang.org/x/sys v0.41.0
golang.org/x/telemetry v0.0.0-20260209163413-e7419c687ee4
golang.org/x/term v0.40.0
golang.org/x/text v0.34.0
golang.org/x/tools v0.42.0
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
