eliasnaur.com/font	v0.0.0-20230308162249-dd43949cb42d
gioui.org	v0.10.1
gioui.org/shader	v1.0.8
gioui.org/x	v0.10.0
git.wow.st/gmp/jni	v0.0.0-20210610011705-34026c7e22d0
github.com/davecgh/go-spew	v1.1.1
github.com/go-text/typesetting	v0.3.4
github.com/go-text/typesetting-utils	v0.0.0-20260223113751-2d88ac90dae3
github.com/godbus/dbus/v5	v5.0.6
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.8.0
github.com/tetratelabs/wabin	v0.0.0-20230304001439-f6f874872834
golang.org/x/arch	v0.28.0
golang.org/x/exp	v0.0.0-20260112195511-716be5621a96
golang.org/x/exp/shiny	v0.0.0-20260112195511-716be5621a96
golang.org/x/image	v0.35.0
golang.org/x/net	v0.48.0
golang.org/x/sys	v0.40.0
golang.org/x/text	v0.33.0
gopkg.in/yaml.v3	v3.0.1
