github.com/marrow16/valix
github.com/davecgh/go-spew v1.1.1
github.com/go-andiamo/splitter v1.2.5
github.com/google/go-cmp v0.5.9
github.com/pmezard/go-difflib v1.0.0
github.com/stretchr/objx v0.5.0
github.com/stretchr/testify v1.8.2
golang.org/x/crypto v0.36.0
golang.org/x/mod v0.17.0
golang.org/x/net v0.38.0
golang.org/x/sync v0.12.0
golang.org/x/sys v0.31.0
golang.org/x/term v0.30.0
golang.org/x/text v0.23.0
golang.org/x/tools v0.21.1-0.20240508182429-e35e4ccd0d2d
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
