github.com/enetx/surf
github.com/andybalholm/brotli v1.2.1
github.com/davecgh/go-spew v1.1.1
github.com/enetx/g v1.0.224
github.com/enetx/http v1.0.28
github.com/enetx/http2 v1.0.26
github.com/enetx/http3 v1.0.7
github.com/enetx/iter v0.0.0-20250912135656-f1583323588f
github.com/jordanlewis/gcassert v0.0.0-20250430164644-389ef753e22e
github.com/klauspost/compress v1.18.5
github.com/kr/pretty v0.3.1
github.com/pmezard/go-difflib v1.0.0
github.com/quic-go/qpack v0.6.0
github.com/quic-go/quic-go v0.59.1
github.com/refraction-networking/utls v1.8.3-0.20260301010127-aa6edf4b11af
github.com/rogpeppe/go-internal v1.10.0
github.com/stretchr/testify v1.11.1
github.com/wzshiming/socks5 v0.7.0
github.com/xyproto/randomstring v1.0.5
go.uber.org/mock v0.5.2
golang.org/x/crypto v0.41.0
golang.org/x/mod v0.33.0
golang.org/x/net v0.43.0
golang.org/x/sync v0.20.0
golang.org/x/sys v0.35.0
golang.org/x/term v0.34.0
golang.org/x/text v0.35.0
golang.org/x/tools v0.42.0
gopkg.in/check.v1 v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3 v3.0.1
