github.com/pkg/profile
github.com/chzyer/logex v1.1.10
github.com/chzyer/readline v0.0.0-20180603132655-2972be24d48e
github.com/chzyer/test v0.0.0-20180213035817-a1ea475d72b1
github.com/davecgh/go-spew v1.1.1
github.com/felixge/fgprof v0.9.3
github.com/google/pprof v0.0.0-20211214055906-6f57359322fd
github.com/ianlancetaylor/demangle v0.0.0-20210905161508-09a460cdf81d
github.com/pmezard/go-difflib v1.0.0
github.com/stretchr/objx v0.4.0
github.com/stretchr/testify v1.8.0
golang.org/x/sys v0.0.0-20211007075335-d3039528d8ac
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
