github.com/davecgh/go-spew	v1.1.1
github.com/jonreiter/govader	v0.0.0-20210224072402-ab79f4c25a36
github.com/labstack/echo/v4	v4.7.2
github.com/labstack/gommon	v0.3.1
github.com/mattn/go-colorable	v0.1.11
github.com/mattn/go-isatty	v0.0.14
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.7.1
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasttemplate	v1.2.1
golang.org/x/crypto	v0.0.0-20210817164053-32db794688a5
golang.org/x/exp	v0.0.0-20190125153040-c74c464bbbf2
golang.org/x/net	v0.0.0-20211015210444-4f30a5c0130f
golang.org/x/sys	v0.0.0-20211103235746-7861aae1554b
golang.org/x/text	v0.3.7
gonum.org/v1/gonum	v0.8.2
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.0-20210107192922-496545a6307b
