github.com/a-h/templ
github.com/a-h/parse v0.0.0-20250122154542-74294addb73e
github.com/andybalholm/brotli v1.1.0
github.com/cenkalti/backoff/v4 v4.3.0
github.com/cli/browser v1.3.0
github.com/davecgh/go-spew v1.1.1
github.com/fatih/color v1.16.0
github.com/fsnotify/fsnotify v1.7.0
github.com/google/go-cmp v0.6.0
github.com/mattn/go-colorable v0.1.13
github.com/mattn/go-isatty v0.0.20
github.com/natefinch/atomic v1.0.1
github.com/pmezard/go-difflib v1.0.0
github.com/rs/cors v1.11.0
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.10.0
github.com/yuin/goldmark v1.4.13
golang.org/x/crypto v0.48.0
golang.org/x/mod v0.26.0
golang.org/x/net v0.51.0
golang.org/x/sync v0.16.0
golang.org/x/sys v0.41.0
golang.org/x/telemetry v0.0.0-20250710130107-8d8967aff50b
golang.org/x/term v0.40.0
golang.org/x/text v0.34.0
golang.org/x/tools v0.35.0
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
