atomicgo.dev/assert	v0.0.2
atomicgo.dev/cursor	v0.2.0
atomicgo.dev/keyboard	v0.2.10
atomicgo.dev/schedule	v0.1.0
github.com/MarvinJWendt/testza	v0.5.2
github.com/clipperhouse/uax29/v2	v2.7.0
github.com/containerd/console	v1.0.5
github.com/davecgh/go-spew	v1.1.1
github.com/gookit/color	v1.6.0
github.com/klauspost/cpuid/v2	v2.3.0
github.com/lithammer/fuzzysearch	v1.1.8
github.com/mattn/go-runewidth	v0.0.23
github.com/pmezard/go-difflib	v1.0.0
github.com/sergi/go-diff	v1.4.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.0.0-20210921155107-089bfa567519
golang.org/x/mod	v0.34.0
golang.org/x/net	v0.6.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.43.0
golang.org/x/term	v0.42.0
golang.org/x/text	v0.36.0
golang.org/x/tools	v0.43.0
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
