github.com/fsnotify/fsnotify	v1.9.0
github.com/gabriel-vasile/mimetype	v1.4.9
github.com/go-playground/locales	v0.14.1
github.com/go-playground/mold/v4	v4.5.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.26.0
github.com/go-viper/mapstructure/v2	v2.4.0
github.com/gosimple/slug	v1.15.0
github.com/gosimple/unidecode	v1.0.1
github.com/leodido/go-urn	v1.4.0
github.com/pelletier/go-toml/v2	v2.2.4
github.com/sagikazarmark/locafero	v0.11.0
github.com/segmentio/go-camelcase	v0.0.0-20160726192923-7085f1e3c734
github.com/segmentio/go-snakecase	v1.2.0
github.com/sourcegraph/conc	v0.3.1-0.20240121214520-5f936abd7ae8
github.com/spf13/afero	v1.15.0
github.com/spf13/cast	v1.10.0
github.com/spf13/cobra	v1.9.1
github.com/spf13/pflag	v1.0.10
github.com/spf13/viper	v1.21.0
github.com/subosito/gotenv	v1.6.0
github.com/thediveo/enumflag/v2	v2.0.7
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.27.0
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.48.0
golang.org/x/exp	v0.0.0-20250606033433-dcc06ee1d476
golang.org/x/net	v0.50.0
golang.org/x/sys	v0.41.0
golang.org/x/term	v0.40.0
golang.org/x/text	v0.34.0
pgregory.net/rapid	v1.2.0
