Cloning into '/home/user/SBOM/work/go-acme__lego'...
go: downloading go1.25.0 (linux/amd64)
go: downloading github.com/go-jose/go-jose/v4 v4.1.4
go: downloading github.com/urfave/cli/v3 v3.9.0
go: downloading golang.org/x/crypto v0.52.0
go: downloading golang.org/x/net v0.55.0
go: downloading github.com/cenkalti/backoff/v5 v5.0.3
go: downloading github.com/miekg/dns v1.1.72
go: downloading software.sslmate.com/src/go-pkcs12 v0.7.1
go: downloading github.com/hashicorp/go-retryablehttp v0.7.8
go: downloading github.com/mattn/go-zglob v0.0.6
go: downloading github.com/mattn/go-isatty v0.0.22
go: downloading gitlab.com/greyxor/slogor v1.6.10
go: downloading github.com/joho/godotenv v1.5.1
go: downloading github.com/ldez/grignotin v0.10.1
go: downloading github.com/BurntSushi/toml v1.6.0
go: downloading github.com/hashicorp/go-version v1.9.0
go: downloading github.com/stretchr/testify v1.11.1
go: downloading github.com/google/go-querystring v1.2.0
go: downloading github.com/nrdcg/goacmedns v0.2.0
go: downloading github.com/alibabacloud-go/darabonba-openapi/v2 v2.2.1
go: downloading github.com/alibabacloud-go/tea v1.5.0
go: downloading github.com/aliyun/credentials-go v1.4.7
go: downloading github.com/go-acme/alidns-20150109/v5 v5.4.1
go: downloading github.com/go-acme/esa-20240910/v3 v3.2.2
go: downloading github.com/go-viper/mapstructure/v2 v2.5.0
go: downloading github.com/nrdcg/auroradns v1.2.0
go: downloading github.com/aziontech/azionapi-go-sdk v0.144.0
go: downloading github.com/Azure/azure-sdk-for-go/sdk/azcore v1.21.1
go: downloading github.com/Azure/azure-sdk-for-go/sdk/azidentity v1.13.1
go: downloading github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/dns/armdns v1.2.0
go: downloading github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/privatedns/armprivatedns v1.3.0
go: downloading github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/resourcegraph/armresourcegraph v0.10.0
go: downloading github.com/baidubce/bce-sdk-go v0.9.267
go: downloading github.com/labbsr0x/bindman-dns-webhook v1.0.2
go: downloading github.com/bradfitz/gomemcache v0.0.0-20260422231931-4d751bb6e37c
go: downloading golang.org/x/sys v0.45.0
go: downloading github.com/aws/aws-sdk-go-v2 v1.41.8
go: downloading github.com/aws/aws-sdk-go-v2/config v1.32.19
go: downloading github.com/aws/aws-sdk-go-v2/service/s3 v1.102.1
go: downloading github.com/hashicorp/go-cleanhttp v0.5.2
go: downloading github.com/nrdcg/bunny-go v0.1.0
go: downloading golang.org/x/oauth2 v0.36.0
go: downloading github.com/nrdcg/desec v0.11.1
go: downloading github.com/gophercloud/gophercloud v1.14.1
go: downloading github.com/gophercloud/utils v0.0.0-20231010081019-80377eca5d56
go: downloading github.com/dnsimple/dnsimple-go/v9 v9.1.0
go: downloading github.com/bodgit/tsig v1.3.1
go: downloading github.com/akamai/AkamaiOPEN-edgegrid-golang/v13 v13.2.0
go: downloading github.com/go-acme/tencentedgdeone v1.3.38
go: downloading github.com/tencentcloud/tencentcloud-sdk-go/tencentcloud/common v1.3.106
go: downloading github.com/exoscale/egoscale/v3 v3.1.34
go: downloading github.com/nrdcg/freemyip v0.3.0
go: downloading cloud.google.com/go/compute/metadata v0.9.0
go: downloading google.golang.org/api v0.280.0
go: downloading github.com/google/uuid v1.6.0
go: downloading github.com/huaweicloud/huaweicloud-sdk-go-v3 v0.1.198
go: downloading github.com/softlayer/softlayer-go v1.2.1
go: downloading github.com/mimuret/golang-iij-dpf v0.9.1
go: downloading github.com/infobloxopen/infoblox-go-client/v2 v2.11.0
go: downloading github.com/nrdcg/goinwx v0.12.0
go: downloading github.com/pquerna/otp v1.5.0
go: downloading github.com/go-acme/jdcloud-sdk-go v1.64.0
go: downloading github.com/aws/aws-sdk-go-v2/service/lightsail v1.54.1
go: downloading github.com/linode/linodego v1.69.1
go: downloading github.com/liquidweb/liquidweb-go v1.6.4
go: downloading github.com/nrdcg/mailinabox v0.3.0
go: downloading github.com/nzdjb/go-metaname v1.0.0
go: downloading github.com/namedotcom/go/v4 v4.0.2
go: downloading github.com/nrdcg/namesilo v0.5.0
go: downloading github.com/nrdcg/nodion v0.1.0
go: downloading gopkg.in/ns1/ns1-go.v2 v2.17.2
go: downloading github.com/nrdcg/oci-go-sdk/common/v1065 v1065.116.0
go: downloading github.com/nrdcg/oci-go-sdk/dns/v1065 v1065.116.0
go: downloading github.com/ovh/go-ovh v1.9.0
go: downloading github.com/nrdcg/porkbun v0.4.0
go: downloading github.com/regfish/regfish-dnsapi-go v0.1.1
go: downloading github.com/aws/aws-sdk-go-v2/credentials v1.19.18
go: downloading github.com/aws/aws-sdk-go-v2/service/route53 v1.62.8
go: downloading github.com/aws/aws-sdk-go-v2/service/sts v1.42.2
go: downloading github.com/sacloud/api-client-go v0.3.5
go: downloading github.com/sacloud/iaas-api-go v1.29.1
go: downloading github.com/scaleway/scaleway-sdk-go v1.0.0-beta.36
go: downloading github.com/selectel/go-selvpcclient/v4 v4.2.0
go: downloading github.com/selectel/domains-go v1.1.0
go: downloading github.com/go-acme/tencentclouddnspod v1.3.24
go: downloading github.com/transip/gotransip/v6 v6.27.1
go: downloading github.com/ucloud/ucloud-sdk-go v0.22.74
go: downloading github.com/ultradns/ultradns-go-sdk v1.8.2-20260507133303-3f324c7
go: downloading github.com/nrdcg/vegadns v0.3.0
go: downloading github.com/vinyldns/go-vinyldns v0.9.18
go: downloading github.com/volcengine/volc-sdk-golang v1.0.249
go: downloading github.com/vultr/govultr/v3 v3.31.2
go: downloading github.com/yandex-cloud/go-genproto v0.84.0
go: downloading github.com/yandex-cloud/go-sdk/services/dns v0.0.65
go: downloading github.com/yandex-cloud/go-sdk/v2 v2.114.0
go: downloading golang.org/x/time v0.15.0
go: downloading golang.org/x/text v0.37.0
go: downloading github.com/alibabacloud-go/alibabacloud-gateway-spi v0.0.5
go: downloading github.com/alibabacloud-go/tea-utils/v2 v2.0.9
go: downloading github.com/alibabacloud-go/debug v1.0.1
go: downloading github.com/clbanning/mxj/v2 v2.7.0
go: downloading github.com/gorilla/websocket v1.5.3
go: downloading github.com/json-iterator/go v1.1.13-0.20220915233716-71ac16282d12
go: downloading github.com/modern-go/reflect2 v1.0.3-0.20250322232337-35a7c28c31ee
