Cloning into '/home/user/SBOM/work/updatecli__updatecli'...
go: downloading go1.26.4 (linux/amd64)
go: downloading cuelang.org/go v0.16.1
go: downloading github.com/muesli/mango-cobra v1.3.0
go: downloading github.com/muesli/roff v0.1.0
go: downloading github.com/spf13/cobra v1.10.2
go: downloading github.com/Masterminds/sprig/v3 v3.3.0
go: downloading github.com/getsops/sops/v3 v3.13.1
go: downloading github.com/Masterminds/semver/v3 v3.5.0
go: downloading github.com/hexops/gotextdiff v1.0.3
go: downloading github.com/mitchellh/hashstructure v1.1.0
go: downloading go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.68.0
go: downloading github.com/fatih/color v1.19.0
go: downloading github.com/go-git/go-git/v5 v5.19.1
go: downloading github.com/heimdalr/dag v1.5.1
go: downloading github.com/invopop/jsonschema v0.14.0
go: downloading github.com/goware/urlx v0.3.2
go: downloading github.com/google/go-containerregistry v0.21.6
go: downloading github.com/yuin/goldmark v1.8.2
go: downloading oras.land/oras-go/v2 v2.6.0
go: downloading helm.sh/helm/v3 v3.21.0
go: downloading go.opentelemetry.io/otel/exporters/stdout/stdouttrace v1.43.0
go: downloading golang.org/x/sys v0.44.0
go: downloading github.com/tomwright/dasel/v2 v2.8.1
go: downloading github.com/nirasan/go-oauth-pkce-code-verifier v0.0.0-20220510032225-4f9f17eaec4c
go: downloading github.com/skratchdot/open-golang v0.0.0-20200116055534-eef842397966
go: downloading go.yaml.in/yaml/v4 v4.0.0-rc.4
go: downloading github.com/fluxcd/helm-controller/api v1.5.5
go: downloading github.com/fluxcd/source-controller/api v1.8.5
go: downloading golang.org/x/mod v0.36.0
go: downloading github.com/beevik/etree v1.6.0
go: downloading github.com/extism/go-sdk v1.7.1
go: downloading github.com/tetratelabs/wazero v1.12.0
go: downloading github.com/hashicorp/terraform-registry-address v0.4.0
go: downloading github.com/hashicorp/hcl/v2 v2.24.0
go: downloading github.com/tomwright/dasel v1.27.3
go: downloading github.com/hashicorp/hcl v1.0.1-vault-7
go: downloading github.com/aquasecurity/go-pep440-version v0.0.1
go: downloading github.com/google/go-github/v69 v69.2.0
go: downloading github.com/zclconf/go-cty v1.18.1
go: downloading github.com/JohannesKaufmann/html-to-markdown v1.6.0
go: downloading github.com/aws/aws-sdk-go-v2 v1.42.0
go: downloading github.com/aws/aws-sdk-go-v2/config v1.32.24
go: downloading github.com/aws/aws-sdk-go-v2/credentials v1.19.23
go: downloading github.com/microsoft/azure-devops-go-api/azuredevops/v7 v7.1.0
go: downloading github.com/aws/aws-sdk-go-v2/service/ec2 v1.302.0
go: downloading github.com/aws/smithy-go v1.27.1
go: downloading github.com/muesli/mango v0.2.0
go: downloading github.com/muesli/mango-pflag v0.1.0
go: downloading github.com/cockroachdb/apd/v3 v3.2.1
go: downloading github.com/drone/go-scm v1.42.3
go: downloading golang.org/x/crypto v0.51.0
go: downloading github.com/cpuguy83/go-md2man/v2 v2.0.7
go: downloading github.com/shurcooL/githubv4 v0.0.0-20230215024106-420ad0987b9b
go: downloading github.com/moby/buildkit v0.30.0
go: downloading gitlab.com/gitlab-org/api/client-go v1.46.0
go: downloading github.com/mattn/go-isatty v0.0.22
go: downloading code.gitea.io/sdk/gitea v0.25.1
