Cloning into '/home/user/SBOM/work/gatewayd-io__gatewayd'...
go: downloading go1.25.0 (linux/amd64)
go: downloading github.com/grpc-ecosystem/grpc-gateway/v2 v2.28.0
go: downloading google.golang.org/genproto/googleapis/api v0.0.0-20260217215200-42d3e9bedb6d
go: downloading google.golang.org/grpc v1.79.1
go: downloading github.com/NYTimes/gziphandler v1.1.1
go: downloading github.com/codingsince1985/checksum v1.3.0
go: downloading github.com/gatewayd-io/gatewayd-plugin-sdk v0.4.4
go: downloading github.com/getsentry/sentry-go v0.42.0
go: downloading github.com/go-co-op/gocron v1.37.0
go: downloading github.com/google/go-github/v68 v68.0.0
go: downloading github.com/invopop/jsonschema v0.13.0
go: downloading github.com/knadh/koanf v1.5.0
go: downloading github.com/prometheus/client_golang v1.23.2
go: downloading github.com/redis/go-redis/v9 v9.18.0
go: downloading github.com/rs/zerolog v1.34.0
go: downloading github.com/santhosh-tekuri/jsonschema/v5 v5.3.1
go: downloading github.com/spf13/cast v1.10.0
go: downloading github.com/spf13/cobra v1.10.2
go: downloading go.opentelemetry.io/otel v1.40.0
go: downloading go.opentelemetry.io/otel/trace v1.40.0
go: downloading github.com/jackc/pgx/v5 v5.8.0
go: downloading github.com/hashicorp/go-hclog v1.6.3
go: downloading gopkg.in/natefinch/lumberjack.v2 v2.2.1
go: downloading github.com/Masterminds/semver/v3 v3.4.0
go: downloading github.com/cybercyst/go-scaffold v0.0.0-20240606114431-816e6211c151
go: downloading github.com/hashicorp/go-plugin v1.7.0
go: downloading github.com/mitchellh/mapstructure v1.5.0
go: downloading golang.org/x/text v0.34.0
go: downloading github.com/hashicorp/raft v1.7.3
go: downloading github.com/hashicorp/raft-boltdb v0.0.0-20251103221153-05f9dd7a5148
go: downloading github.com/spaolacci/murmur3 v1.1.0
go: downloading github.com/xdg-go/scram v1.2.0
go: downloading github.com/docker/go-connections v0.6.0
go: downloading github.com/testcontainers/testcontainers-go v0.40.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace v1.40.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc v1.40.0
go: downloading go.opentelemetry.io/otel/sdk v1.40.0
go: downloading github.com/prometheus/client_model v0.6.2
go: downloading github.com/prometheus/common v0.67.5
go: downloading golang.org/x/net v0.49.0
go: downloading google.golang.org/genproto/googleapis/rpc v0.0.0-20260209200024-4cfbd4190f57
go: downloading golang.org/x/crypto v0.47.0
go: downloading github.com/expr-lang/expr v1.17.8
go: downloading github.com/robfig/cron/v3 v3.0.1
go: downloading go.uber.org/atomic v1.11.0
go: downloading github.com/wk8/go-ordered-map/v2 v2.1.8
go: downloading golang.org/x/sys v0.40.0
go: downloading github.com/mitchellh/copystructure v1.2.0
go: downloading github.com/google/go-querystring v1.1.0
go: downloading github.com/beorn7/perks v1.0.1
go: downloading github.com/prometheus/procfs v0.16.1
go: downloading github.com/mattn/go-colorable v0.1.14
go: downloading github.com/spf13/pflag v1.0.9
go: downloading github.com/cpuguy83/go-md2man/v2 v2.0.6
go: downloading go.yaml.in/yaml/v3 v3.0.4
go: downloading github.com/dgryski/go-rendezvous v0.0.0-20200823014737-9f7001d12a5f
go: downloading github.com/pganalyze/pg_query_go/v6 v6.2.2
go: downloading github.com/wasilibs/go-pgquery v0.0.0-20250409022910-10ac41983c07
go: downloading github.com/fatih/color v1.18.0
go: downloading github.com/fsnotify/fsnotify v1.7.0
go: downloading github.com/fatih/structs v1.1.0
go: downloading go.opentelemetry.io/otel/metric v1.40.0
go: downloading github.com/hashicorp/yamux v0.1.2
go: downloading github.com/oklog/run v1.1.0
go: downloading github.com/hashicorp/go-metrics v0.5.4
go: downloading github.com/hashicorp/go-msgpack/v2 v2.1.2
go: downloading github.com/boltdb/bolt v1.3.1
go: downloading github.com/hashicorp/go-msgpack v0.5.5
go: downloading github.com/xdg-go/stringprep v1.0.4
go: downloading github.com/spf13/afero v1.15.0
go: downloading dario.cat/mergo v1.0.2
go: downloading github.com/cenkalti/backoff/v4 v4.3.0
go: downloading github.com/containerd/errdefs v1.0.0
go: downloading github.com/containerd/platforms v0.2.1
go: downloading github.com/cpuguy83/dockercfg v0.3.2
go: downloading github.com/docker/docker v28.5.1+incompatible
go: downloading github.com/moby/go-archive v0.1.0
go: downloading github.com/moby/patternmatcher v0.6.0
go: downloading github.com/moby/term v0.5.0
go: downloading github.com/opencontainers/image-spec v1.1.1
go: downloading go.opentelemetry.io/proto/otlp v1.9.0
go: downloading github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
go: downloading go.yaml.in/yaml/v2 v2.4.3
go: downloading github.com/bahlo/generic-list-go v0.2.0
go: downloading github.com/buger/jsonparser v1.1.1
go: downloading github.com/mailru/easyjson v0.7.7
go: downloading github.com/mitchellh/reflectwalk v1.0.2
go: downloading github.com/russross/blackfriday/v2 v2.1.0
go: downloading github.com/armon/go-metrics v0.4.1
go: downloading github.com/extemporalgenome/slug v0.0.0-20150414033109-0320c85e32e0
go: downloading github.com/flosch/pongo2/v6 v6.0.0
go: downloading github.com/pkg/errors v0.9.1
go: downloading github.com/qri-io/jsonschema v0.2.1
go: downloading github.com/containerd/log v0.1.0
go: downloading github.com/moby/docker-image-spec v1.3.1
go: downloading github.com/opencontainers/go-digest v1.0.0
