github.com/Kodeworks/golang-image-ico	v0.0.0-20141118225523-73f0f4cfade9
github.com/NYTimes/gziphandler	v1.1.1
github.com/aws/aws-sdk-go	v1.55.8
github.com/caarlos0/env/v6	v6.10.1
github.com/coreos/go-oidc/v3	v3.20.0
github.com/dustin/go-humanize	v1.0.1
github.com/ebitengine/purego	v0.10.1
github.com/go-jose/go-jose/v4	v4.1.4
github.com/go-ole/go-ole	v1.3.0
github.com/gomodule/redigo	v1.9.3
github.com/google/uuid	v1.6.0
github.com/jinzhu/copier	v0.4.0
github.com/jmespath/go-jmespath	v0.4.0
github.com/johannesboyne/gofakes3	v1.2.0
github.com/lufia/plan9stats	v0.0.0-20260627054121-477a66015f15
github.com/mattn/go-isatty	v0.0.22
github.com/mitchellh/colorstring	v0.0.0-20190213212951-d06e56a500db
github.com/ncruces/go-strftime	v1.0.0
github.com/power-devops/perfstat	v0.0.0-20240221224432-82ca36839d55
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec
github.com/rivo/uniseg	v0.4.7
github.com/ryszard/goskiplist	v0.0.0-20150312221310-2dfbae5fcf46
github.com/schollz/progressbar/v3	v3.19.1
github.com/secure-io/sio-go	v0.3.1
github.com/shirou/gopsutil/v4	v4.26.6
github.com/tklauser/go-sysconf	v0.4.0
github.com/tklauser/numcpus	v0.12.0
github.com/yusufpapurcu/wmi	v1.2.4
go.shabbyrobe.org/gocovmerge	v0.0.0-20230507111327-fa4f82cfbf4d
golang.org/x/crypto	v0.54.0
golang.org/x/image	v0.44.0
golang.org/x/oauth2	v0.36.0
golang.org/x/sys	v0.47.0
golang.org/x/term	v0.45.0
golang.org/x/time	v0.15.0
golang.org/x/tools	v0.48.0
gopkg.in/yaml.v3	v3.0.1
modernc.org/libc	v1.74.1
modernc.org/mathutil	v1.7.1
modernc.org/memory	v1.11.0
modernc.org/sqlite	v1.53.0
