github.com/BTBurke/caddy-jwt v3.7.1+incompatible
github.com/abbot/go-http-auth v0.4.0
github.com/caddyserver/caddy v1.0.3
github.com/dgrijalva/jwt-go v3.2.0+incompatible
github.com/gorilla/mux v1.7.3
github.com/pkg/errors v0.9.1
github.com/sirupsen/logrus v1.7.0
github.com/stretchr/testify v1.7.0
github.com/tarent/lib-compose/v2 v2.0.1
golang.org/x/crypto v0.0.0-20201221181555-eec23a3978ad
gopkg.in/yaml.v2 v2.4.0
