Cloning into '/home/user/SBOM/work/juicedata__juicefs'...
go: downloading go1.25.0 (linux/amd64)
go: downloading github.com/davies/groupcache v0.0.0-20230821031435-e4e8362f58e1
go: downloading github.com/charlievieth/fastwalk v1.0.14
go: downloading github.com/dustin/go-humanize v1.0.1
go: downloading github.com/google/uuid v1.6.0
go: downloading github.com/juju/ratelimit v1.0.2
go: downloading github.com/prometheus/client_golang v1.21.1
go: downloading github.com/twmb/murmur3 v1.1.8
go: downloading golang.org/x/sys v0.42.0
go: downloading github.com/DataDog/zstd v1.5.6
go: downloading github.com/hungys/go-lz4 v0.0.0-20170805124057-19ff7f07f099
go: downloading github.com/grafana/pyroscope-go v1.2.1
go: downloading github.com/grafana/pyroscope-go/godeltaprof v0.1.8
go: downloading github.com/juicedata/godaemon v0.0.0-20210629045518-3da5144a127d
go: downloading github.com/mattn/go-isatty v0.0.20
go: downloading github.com/minio/cli v1.24.2
go: downloading github.com/minio/minio-go/v7 v7.0.11-0.20210302210017-6ae69c73ce78
go: downloading github.com/juicedata/minio v0.0.0-20260515071949-69a6cfc9da65
go: downloading github.com/pkg/errors v0.9.1
go: downloading github.com/sirupsen/logrus v1.9.3
go: downloading golang.org/x/net v0.52.0
go: downloading github.com/spf13/cast v1.7.1
go: downloading github.com/juicedata/cli/v2 v2.19.4-0.20230605075551-9c9c5c0dce83
go: downloading go.uber.org/automaxprocs v1.6.0
go: downloading golang.org/x/sync v0.20.0
go: downloading github.com/json-iterator/go v1.1.12
go: downloading github.com/juicedata/go-fuse/v2 v2.1.1-0.20260324060633-bc6464442863
go: downloading google.golang.org/protobuf v1.36.11
go: downloading github.com/hashicorp/consul/api v1.29.2
go: downloading github.com/hashicorp/go-hclog v1.6.3
go: downloading github.com/oliverisaac/shellescape v0.0.0-20220131224704-1b6c6b87b668
go: downloading cloud.google.com/go/compute/metadata v0.9.0
go: downloading github.com/vimeo/go-util v1.4.1
go: downloading cloud.google.com/go v0.116.0
go: downloading github.com/erikdubbelboer/gspt v0.0.0-20210805194459-ce36a5128377
go: downloading cloud.google.com/go/storage v1.48.0
go: downloading github.com/juicedata/mpb/v7 v7.0.4-0.20231024073412-2b8d31be510b
go: downloading github.com/dgraph-io/badger/v4 v4.9.1
go: downloading github.com/emmansun/gmsm v0.41.1
go: downloading github.com/prometheus/client_model v0.6.2
go: downloading github.com/go-sql-driver/mysql v1.9.3
go: downloading github.com/goccy/go-json v0.10.5
go: downloading github.com/Azure/azure-sdk-for-go/sdk/azcore v1.20.0
go: downloading github.com/golang/snappy v0.0.4
go: downloading github.com/google/btree v1.1.2
go: downloading github.com/Azure/azure-sdk-for-go/sdk/azidentity v1.13.1
go: downloading github.com/jcmturner/gokrb5/v8 v8.4.4
go: downloading github.com/juicedata/golang-lru/v2 v2.0.8-0.20251126062551-1b321869f904
go: downloading github.com/Azure/azure-sdk-for-go/sdk/storage/azblob v1.6.4
go: downloading github.com/hashicorp/golang-lru v0.6.0
go: downloading github.com/jackc/pgx/v5 v5.9.2
go: downloading github.com/mattn/go-sqlite3 v1.14.24
go: downloading github.com/prometheus/common v0.62.0
go: downloading github.com/pingcap/log v1.1.1-0.20221110025148-ca232912c9f3
go: downloading github.com/redis/go-redis/v9 v9.18.0
go: downloading github.com/prometheus/prometheus v0.54.1
go: downloading github.com/IBM/ibm-cos-sdk-go v1.13.0
go: downloading github.com/tikv/client-go/v2 v2.0.7
go: downloading github.com/aliyun/alibabacloud-oss-go-sdk-v2 v1.4.1
go: downloading github.com/aliyun/credentials-go v1.4.5
go: downloading github.com/tikv/pd/client v0.0.0-20230329114254-1948c247c2b1
go: downloading github.com/aws/aws-sdk-go-v2 v1.41.5
go: downloading go.etcd.io/etcd/client/v3 v3.5.9
go: downloading go.etcd.io/etcd v3.3.27+incompatible
go: downloading go.uber.org/zap v1.27.0
go: downloading github.com/aws/aws-sdk-go-v2/config v1.32.14
go: downloading github.com/aws/aws-sdk-go-v2/credentials v1.19.14
go: downloading github.com/aws/aws-sdk-go-v2/service/s3 v1.99.0
go: downloading gitea.com/davies/xorm v1.0.8-0.20220528043536-552d84d1b34a
go: downloading github.com/aws/smithy-go v1.24.2
go: downloading github.com/baidubce/bce-sdk-go v0.9.263
go: downloading github.com/juicedata/go-smb2 v0.0.0-20260310064141-58f27d06634e
go: downloading github.com/colinmarc/hdfs/v2 v2.4.0
go: downloading github.com/go-http-utils/headers v0.0.0-20181008091004-fed159eddc2a
go: downloading github.com/juicedata/huaweicloud-sdk-go-obs v3.22.12-0.20230228031208-386e87b5c091+incompatible
go: downloading github.com/ks3sdklib/aws-sdk-go v1.6.0
go: downloading github.com/ncw/swift/v2 v2.0.3
go: downloading github.com/pkg/sftp v1.13.10
go: downloading github.com/qingstor/qingstor-sdk-go/v4 v4.4.1
go: downloading github.com/qiniu/go-sdk/v7 v7.26.8
go: downloading github.com/studio-b12/gowebdav v0.10.0
go: downloading github.com/tencentyun/cos-go-sdk-v5 v0.7.73
go: downloading github.com/viki-org/dnscache v0.0.0-20130720023526-c70c1f23c5d8
go: downloading github.com/juicedata/go-nfs-client v0.0.0-20250220101412-d3a8c1ca64a1
go: downloading github.com/volcengine/ve-tos-golang-sdk/v2 v2.9.0
go: downloading golang.org/x/crypto v0.49.0
go: downloading golang.org/x/oauth2 v0.34.0
go: downloading golang.org/x/term v0.41.0
go: downloading google.golang.org/api v0.210.0
go: downloading gopkg.in/kothar/go-backblaze.v0 v0.0.0-20210124194846-35409b867216
go: downloading storj.io/uplink v1.14.2
go: downloading github.com/beorn7/perks v1.0.1
go: downloading github.com/cespare/xxhash/v2 v2.3.0
go: downloading github.com/prometheus/procfs v0.15.1
go: downloading github.com/klauspost/compress v1.18.0
go: downloading github.com/modern-go/reflect2 v1.0.2
go: downloading github.com/cpuguy83/go-md2man/v2 v2.0.2
go: downloading github.com/xrash/smetrics v0.0.0-20201216005158-039620a65673
go: downloading github.com/valyala/tcplisten v1.0.0
go: downloading github.com/VividCortex/ewma v1.2.0
go: downloading github.com/bcicen/jstream v1.0.1
go: downloading github.com/cheggaaa/pb v1.0.29
go: downloading github.com/dchest/siphash v1.2.1
go: downloading github.com/djherbis/atime v1.0.0
go: downloading github.com/fatih/color v1.16.0
go: downloading github.com/golang-jwt/jwt/v4 v4.5.2
go: downloading github.com/gorilla/handlers v1.5.1
go: downloading github.com/gorilla/mux v1.8.1
go: downloading github.com/klauspost/readahead v1.3.1
go: downloading github.com/klauspost/pgzip v1.2.5
go: downloading github.com/klauspost/reedsolomon v1.9.11
go: downloading github.com/minio/highwayhash v1.0.2
go: downloading github.com/minio/selfupdate v0.3.1
go: downloading github.com/minio/sio v0.2.1
go: downloading github.com/mitchellh/go-homedir v1.1.0
go: downloading github.com/philhofer/fwd v1.1.1
go: downloading github.com/pierrec/lz4 v2.5.2+incompatible
go: downloading github.com/rs/cors v1.7.0
go: downloading github.com/shirou/gopsutil/v3 v3.23.11
go: downloading github.com/tinylib/msgp v1.1.3
go: downloading github.com/willf/bloom v2.0.3+incompatible
go: downloading github.com/secure-io/sio-go v0.3.1
go: downloading github.com/hashicorp/go-cleanhttp v0.5.2
go: downloading github.com/hashicorp/go-multierror v1.1.1
go: downloading github.com/hashicorp/go-rootcerts v1.0.2
go: downloading github.com/hashicorp/serf v0.10.1
go: downloading github.com/mitchellh/mapstructure v1.5.0
go: downloading golang.org/x/exp v0.0.0-20240119083558-1b970713d09a
go: downloading github.com/acarl005/stripansi v0.0.0-20180116102854-5a71ef0e047d
go: downloading github.com/mattn/go-runewidth v0.0.15
go: downloading cloud.google.com/go/iam v1.2.2
go: downloading github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric v0.48.1
go: downloading github.com/googleapis/gax-go/v2 v2.14.0
go: downloading go.opentelemetry.io/contrib/detectors/gcp v1.39.0
go: downloading go.opentelemetry.io/otel v1.43.0
go: downloading go.opentelemetry.io/otel/sdk/metric v1.43.0
go: downloading go.opentelemetry.io/otel/sdk v1.43.0
go: downloading google.golang.org/genproto v0.0.0-20241118233622-e639e219e697
go: downloading google.golang.org/grpc v1.80.0
go: downloading github.com/dgraph-io/ristretto/v2 v2.4.0
go: downloading filippo.io/edwards25519 v1.1.0
go: downloading github.com/Azure/azure-sdk-for-go/sdk/internal v1.11.2
go: downloading github.com/AzureAD/microsoft-authentication-library-for-go v1.6.0
go: downloading github.com/jcmturner/goidentity/v6 v6.0.1
go: downloading github.com/jcmturner/gofork v1.7.6
go: downloading github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
go: downloading gopkg.in/natefinch/lumberjack.v2 v2.2.1
go: downloading github.com/jackc/pgpassfile v1.0.0
go: downloading github.com/jackc/pgservicefile v0.0.0-20240606120523-5a60cdf6a761
go: downloading golang.org/x/text v0.35.0
go: downloading github.com/dgryski/go-rendezvous v0.0.0-20200823014737-9f7001d12a5f
go: downloading github.com/IBM/go-sdk-core/v5 v5.21.2
go: downloading github.com/pingcap/kvproto v0.0.0-20230403051650-e166ae588106
go: downloading github.com/opentracing/opentracing-go v1.2.0
go: downloading github.com/tiancaiamao/gp v0.0.0-20221230034425-4025bc8a4d4a
go: downloading go.etcd.io/etcd/api/v3 v3.5.9
go: downloading go.uber.org/atomic v1.11.0
go: downloading github.com/alibabacloud-go/debug v1.0.1
go: downloading github.com/alibabacloud-go/tea v1.2.2
go: downloading gopkg.in/ini.v1 v1.67.0
go: downloading github.com/pingcap/errors v0.11.5-0.20211224045212-9687c2b0f87c
go: downloading github.com/pingcap/failpoint v0.0.0-20220801062533-2eaa32854a6c
go: downloading golang.org/x/time v0.8.0
go: downloading github.com/aws/aws-sdk-go-v2/feature/ec2/imds v1.18.21
go: downloading github.com/aws/aws-sdk-go-v2/internal/ini v1.8.6
