github.com/bradfitz/gomemcache v0.0.0-20230905024940-24af94b03874
github.com/cespare/xxhash/v2 v2.2.0
github.com/dgryski/go-rendezvous v0.0.0-20200823014737-9f7001d12a5f
github.com/golang/snappy v0.0.4
github.com/klauspost/compress v1.16.7
github.com/redis/go-redis/v9 v9.7.3
github.com/xdg-go/pbkdf2 v1.0.0
github.com/xdg-go/scram v1.1.2
github.com/xdg-go/stringprep v1.0.4
github.com/youmark/pkcs8 v0.0.0-20240726163527-a2c0da244d78
go.etcd.io/bbolt v1.3.10
go.mongodb.org/mongo-driver/v2 v2.0.1
golang.org/x/crypto v0.33.0
golang.org/x/sync v0.11.0
golang.org/x/sys v0.30.0
golang.org/x/text v0.22.0
