github.com/bytedance/sonic	v1.13.3
github.com/bytedance/sonic/loader	v0.2.4
github.com/cespare/xxhash/v2	v2.3.0
github.com/cloudwego/base64x	v0.1.5
github.com/coocood/freecache	v1.2.4
github.com/dgraph-io/ristretto/v2	v2.1.0
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/dustin/go-humanize	v1.0.1
github.com/klauspost/compress	v1.17.11
github.com/klauspost/cpuid/v2	v2.0.9
github.com/pkg/errors	v0.9.1
github.com/redis/go-redis/v9	v9.11.0
github.com/twitchyliquid64/golang-asm	v0.15.1
github.com/vmihailenco/msgpack/v5	v5.4.1
github.com/vmihailenco/tagparser/v2	v2.0.0
golang.org/x/arch	v0.0.0-20210923205945-b76863e36670
golang.org/x/exp	v0.0.0-20240904232852-e7e105dedf7e
golang.org/x/sync	v0.11.0
golang.org/x/sys	v0.29.0
