github.com/creack/pty	v1.1.9
github.com/davecgh/go-spew	v1.1.1
github.com/kr/pretty	v0.2.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.6.1
golang.org/x/crypto	v0.0.0-20201208171446-5f87f3452ae9
golang.org/x/net	v0.0.0-20190404232315-eb5bcb51f2a3
golang.org/x/sys	v0.0.0-20201211002650-1f0c578a6b29
golang.org/x/term	v0.0.0-20201117132131-f5c789dd3221
golang.org/x/text	v0.3.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.0-20200615113413-eeeca48fe776
