github.com/fsnotify/fsnotify v1.9.0
github.com/hedzr/evendeep v1.4.0
github.com/hedzr/is v0.9.1
github.com/hedzr/logg v0.9.0
github.com/hedzr/store v1.4.0
github.com/hedzr/store/codecs/json v1.4.0
github.com/hedzr/store/providers/file v1.4.0
golang.org/x/exp v0.0.0-20260212183809-81e46e3db34a
golang.org/x/net v0.52.0
golang.org/x/sys v0.42.0
golang.org/x/term v0.41.0
gopkg.in/hedzr/errors.v3 v3.3.5
