github.com/go-sql-driver/mysql v1.5.0
github.com/google/uuid v1.2.0
github.com/lib/pq v1.8.0
github.com/spf13/cobra v1.0.0
github.com/spf13/pflag v1.0.5
golang.org/x/mod v0.4.2
golang.org/x/sys v0.0.0-20210510120138-977fb7262007
golang.org/x/tools v0.1.2
golang.org/x/xerrors v0.0.0-20200804184101-5ec99f83aff1
