github.com/playwright-community/playwright-go
github.com/coder/websocket v1.8.12
github.com/creack/pty v1.1.9
github.com/davecgh/go-spew v1.1.1
github.com/deckarep/golang-set/v2 v2.8.0
github.com/go-jose/go-jose/v3 v3.0.4
github.com/go-stack/stack v1.8.1
github.com/google/go-cmp v0.5.9
github.com/h2non/filetype v1.1.3
github.com/kr/pretty v0.3.1
github.com/kr/pty v1.1.1
github.com/kr/text v0.2.0
github.com/orisano/pixelmatch v0.0.0-20230914042517-fa304d1dc785
github.com/pkg/diff v0.0.0-20210226163009-20ebb0f2a09e
github.com/pmezard/go-difflib v1.0.0
github.com/rogpeppe/go-internal v1.11.0
github.com/stretchr/objx v0.5.0
github.com/stretchr/testify v1.8.4
github.com/tidwall/gjson v1.17.0
github.com/tidwall/match v1.1.1
github.com/tidwall/pretty v1.2.1
github.com/yuin/goldmark v1.4.13
golang.org/x/crypto v0.19.0
golang.org/x/mod v0.9.0
golang.org/x/net v0.10.0
golang.org/x/sync v0.1.0
golang.org/x/sys v0.17.0
golang.org/x/term v0.17.0
golang.org/x/text v0.14.0
golang.org/x/tools v0.6.0
golang.org/x/xerrors v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1 v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3 v3.0.1
