Cloning into '/home/user/SBOM/work/milvus-io__milvus'...
go: downloading go1.25.10 (linux/amd64)
go: downloading github.com/cockroachdb/errors v1.9.1
go: downloading github.com/milvus-io/milvus-proto/go-api/v3 v3.0.0-20260526093827-489331a5a41f
go: downloading go.uber.org/zap v1.27.0
go: downloading golang.org/x/exp v0.0.0-20240506185415-9bf2ced13842
go: downloading github.com/quasilyte/go-ruleguard/dsl v0.3.23
go: downloading github.com/prometheus/client_golang v1.20.5
go: downloading github.com/samber/lo v1.52.0
go: downloading github.com/gofrs/flock v0.8.1
go: downloading go.uber.org/atomic v1.11.0
go: downloading github.com/blang/semver/v4 v4.0.0
go: downloading go.etcd.io/etcd/client/v3 v3.5.23
go: downloading go.etcd.io/etcd/api/v3 v3.5.23
go: downloading google.golang.org/grpc v1.80.0
go: downloading github.com/cenkalti/backoff/v4 v4.2.1
go: downloading github.com/milvus-io/arrow/go/v17 v17.0.1
go: downloading github.com/bits-and-blooms/bitset v1.12.0
go: downloading github.com/tidwall/gjson v1.17.1
go: downloading github.com/hamba/avro/v2 v2.29.0
go: downloading github.com/tikv/client-go/v2 v2.0.4
go: downloading github.com/hashicorp/golang-lru/v2 v2.0.7
go: downloading github.com/hashicorp/golang-lru v0.5.1
go: downloading golang.org/x/sync v0.20.0
go: downloading go.opentelemetry.io/otel v1.43.0
go: downloading go.opentelemetry.io/otel/trace v1.43.0
go: downloading github.com/grpc-ecosystem/go-grpc-middleware v1.3.0
go: downloading github.com/gin-gonic/gin v1.11.0
go: downloading github.com/go-playground/validator/v10 v10.27.0
go: downloading github.com/soheilhy/cmux v0.1.5
go: downloading go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc v0.59.0
go: downloading golang.org/x/net v0.55.0
go: downloading golang.org/x/time v0.10.0
go: downloading github.com/spf13/cast v1.3.1
go: downloading github.com/bytedance/sonic v1.14.0
go: downloading github.com/google/btree v1.1.2
go: downloading go.etcd.io/etcd/server/v3 v3.5.23
go: downloading github.com/klauspost/compress v1.18.0
go: downloading github.com/json-iterator/go v1.1.13-0.20220915233716-71ac16282d12
go: downloading github.com/uber/jaeger-client-go v2.30.0+incompatible
go: downloading gopkg.in/natefinch/lumberjack.v2 v2.2.1
go: downloading github.com/panjf2000/ants/v2 v2.11.3
go: downloading github.com/shirou/gopsutil/v3 v3.23.12
go: downloading github.com/spaolacci/murmur3 v1.1.0
go: downloading github.com/x448/float16 v0.8.4
go: downloading go.uber.org/multierr v1.11.0
go: downloading github.com/cockroachdb/logtags v0.0.0-20211118104740-dabe8e521a4f
go: downloading github.com/cockroachdb/redact v1.1.3
go: downloading github.com/shirou/gopsutil v3.20.11+incompatible
go: downloading github.com/getsentry/sentry-go v0.12.0
go: downloading github.com/prometheus/common v0.55.0
go: downloading github.com/shirou/gopsutil/v4 v4.25.10
go: downloading mosn.io/holmes v1.0.2
go: downloading github.com/milvus-io/gorocksdb v0.0.0-20220624081344-8c5f4212846b
go: downloading gopkg.in/yaml.v2 v2.4.0
go: downloading go.opentelemetry.io/otel/exporters/jaeger v1.13.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc v1.42.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp v1.43.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace v1.43.0
go: downloading go.opentelemetry.io/otel/exporters/stdout/stdouttrace v1.43.0
go: downloading go.opentelemetry.io/otel/sdk v1.43.0
go: downloading github.com/SimFG/expr v0.0.0-20250513112851-9b981e8400b9
go: downloading github.com/benesch/cgosymbolizer v0.0.0-20190515212042-bec6fe6e597b
go: downloading golang.org/x/text v0.37.0
go: downloading cloud.google.com/go/storage v1.50.0
go: downloading github.com/Azure/azure-sdk-for-go/sdk/azcore v1.11.1
go: downloading github.com/Azure/azure-sdk-for-go/sdk/storage/azblob v1.1.0
go: downloading cloud.google.com/go v0.118.3
go: downloading github.com/minio/minio-go/v7 v7.0.73
go: downloading google.golang.org/api v0.224.0
go: downloading github.com/twpayne/go-geom v1.6.1
go: downloading github.com/prometheus/procfs v0.15.1
go: downloading github.com/containerd/cgroups/v3 v3.0.3
go: downloading github.com/sirupsen/logrus v1.9.3
go: downloading go.uber.org/automaxprocs v1.5.3
go: downloading k8s.io/apimachinery v0.32.3
go: downloading github.com/antlr4-go/antlr/v4 v4.13.1
go: downloading golang.org/x/crypto v0.52.0
go: downloading github.com/casbin/casbin/v2 v2.135.0
go: downloading github.com/casbin/json-adapter/v2 v2.0.0
go: downloading github.com/davecgh/go-spew v1.1.2-0.20180830191138-d8f796af33cc
go: downloading github.com/pmezard/go-difflib v1.0.1-0.20181226105442-5d4384ee4fb2
go: downloading github.com/stretchr/objx v0.5.2
go: downloading github.com/gogo/protobuf v1.3.2
go: downloading github.com/apache/pulsar-client-go v0.19.0
go: downloading github.com/confluentinc/confluent-kafka-go v1.9.1
go: downloading github.com/zilliztech/woodpecker v0.1.29
go: downloading go.etcd.io/etcd/client/pkg/v3 v3.5.23
go: downloading google.golang.org/genproto/googleapis/rpc v0.0.0-20260406210006-6f92a3bedf2d
go: downloading google.golang.org/genproto v0.0.0-20250303144028-a0af3efb3deb
go: downloading github.com/jolestar/go-commons-pool/v2 v2.1.2
go: downloading github.com/tidwall/match v1.1.1
go: downloading github.com/tidwall/pretty v1.2.0
go: downloading github.com/go-viper/mapstructure/v2 v2.4.0
go: downloading github.com/modern-go/reflect2 v1.0.2
go: downloading github.com/pingcap/kvproto v0.0.0-20221129023506-621ec37aac7a
go: downloading github.com/Azure/azure-sdk-for-go/sdk/azidentity v1.6.0
go: downloading golang.org/x/oauth2 v0.35.0
go: downloading github.com/aws/aws-sdk-go-v2 v1.36.3
go: downloading github.com/aws/aws-sdk-go-v2/config v1.29.9
go: downloading github.com/aws/aws-sdk-go-v2/credentials v1.17.62
go: downloading github.com/aws/aws-sdk-go-v2/service/bedrockruntime v1.23.0
go: downloading go.opentelemetry.io/otel/metric v1.43.0
go: downloading github.com/gin-contrib/sse v1.1.0
go: downloading github.com/quic-go/quic-go v0.54.1
go: downloading github.com/goccy/go-yaml v1.18.0
go: downloading github.com/pelletier/go-toml/v2 v2.2.4
go: downloading github.com/ugorji/go/codec v1.3.0
go: downloading github.com/gabriel-vasile/mimetype v1.4.8
go: downloading github.com/go-playground/universal-translator v0.18.1
go: downloading github.com/leodido/go-urn v1.4.0
go: downloading github.com/bits-and-blooms/bloom/v3 v3.3.1
go: downloading github.com/milvus-io/blobloom v0.0.0-20240603110411-471ae49f3b93
go: downloading github.com/zeebo/xxh3 v1.0.2
go: downloading github.com/grpc-ecosystem/go-grpc-prometheus v1.2.0
go: downloading github.com/grpc-ecosystem/grpc-gateway v1.16.0
go: downloading github.com/tmc/grpc-websocket-proxy v0.0.0-20201229170055-e5319fda7802
go: downloading go.etcd.io/bbolt v1.3.12
go: downloading go.etcd.io/etcd/pkg/v3 v3.5.23
go: downloading sigs.k8s.io/yaml v1.4.0
go: downloading github.com/pingcap/log v1.1.1-0.20221015072633-39906604fb81
go: downloading github.com/pkg/errors v0.9.1
go: downloading golang.org/x/sys v0.45.0
go: downloading github.com/dgryski/go-farm v0.0.0-20190423205320-6a90982ecee2
go: downloading github.com/opentracing/opentracing-go v1.2.0
go: downloading github.com/pingcap/failpoint v0.0.0-20210918120811-547c13e3eb00
go: downloading golang.org/x/xerrors v0.0.0-20231012003039-104605ab7028
go: downloading github.com/sbinet/npyio v0.6.0
