github.com/hajimehoshi/ebiten/v2
github.com/ebitengine/debugui v0.2.0
github.com/ebitengine/gomobile v0.0.0-20260211053922-3d992dae95d1
github.com/ebitengine/hideconsole v1.0.0
github.com/ebitengine/oto/v3 v3.5.0-alpha.8
github.com/ebitengine/purego v0.11.0-alpha.4
github.com/gen2brain/mpeg v0.5.0
github.com/go-text/typesetting v0.3.5-0.20260505125104-04e4e76f9371
github.com/go-text/typesetting-utils v0.0.0-20260419141703-4ffe8874dabc
github.com/google/go-cmp v0.6.0
github.com/hajimehoshi/bitmapfont/v4 v4.1.1
github.com/hajimehoshi/go-mp3 v0.3.4
github.com/hajimehoshi/oto/v2 v2.3.1
github.com/jakecoffman/cp/v2 v2.4.0
github.com/jezek/xgb v1.3.1
github.com/jfreymuth/oggvorbis v1.0.5
github.com/jfreymuth/pulse v0.1.1
github.com/jfreymuth/vorbis v1.0.2
github.com/kazzmir/opus-go v1.3.0
github.com/kisielk/errcheck v1.20.0
github.com/pierrec/lz4/v4 v4.1.22
github.com/pkg/browser v0.0.0-20240102092130-5ac0b6a4141c
github.com/rivo/uniseg v0.4.7
github.com/yuin/goldmark v1.4.13
golang.org/x/image v0.41.0
golang.org/x/mod v0.36.0
golang.org/x/net v0.54.0
golang.org/x/sync v0.20.0
golang.org/x/sys v0.45.0
golang.org/x/telemetry v0.0.0-20260508192327-42602be52be6
golang.org/x/text v0.37.0
golang.org/x/tools v0.45.0
golang.org/x/tools/go/expect v0.1.1-deprecated
golang.org/x/tools/go/packages/packagestest v0.1.1-deprecated
