github.com/golang/protobuf	v1.3.2
github.com/golang/snappy	v0.0.1
github.com/gookit/color	v1.2.0
github.com/onsi/ginkgo	v1.10.1
github.com/onsi/gomega	v1.7.0
github.com/stretchr/objx	v0.2.0
github.com/stretchr/testify	v1.4.0
github.com/xxjwxc/public	v0.0.0-20190920132906-8030ce5a44f3
golang.org/x/crypto	v0.0.0-20190911031432-227b76d455e7
golang.org/x/net	v0.0.0-20190921015927-1a5e07d1ff72
golang.org/x/sync	v0.0.0-20190911185100-cd5d95a43a6e
golang.org/x/sys	v0.0.0-20190920190810-ef0ce1748380
golang.org/x/text	v0.3.2
golang.org/x/tools	v0.0.0-20190920225731-5eefd052ad72
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
