github.com/davecgh/go-spew	v1.1.1
github.com/ghetzel/testify	v1.4.1
github.com/go-logr/logr	v1.4.2
github.com/go-task/slim-sprig/v3	v3.0.0
github.com/google/pprof	v0.0.0-20250208200701-d0013a598941
github.com/onsi/ginkgo/v2	v2.22.2
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
golang.org/x/mod	v0.37.0
golang.org/x/sync	v0.21.0
golang.org/x/sys	v0.30.0
golang.org/x/tools	v0.29.0
golang.org/x/tools	v0.47.0
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
