golang.design/x/clipboard
dmitri.shuralyov.com/gpu/mtl v0.0.0-20221208032759-85de2813cf6b
github.com/ebitengine/purego v0.10.1
github.com/go-gl/glfw/v3.3/glfw v0.0.0-20231223183121-56fa3ac82ce7
github.com/jezek/xgb v1.1.1
golang.design/x/x11 v0.2.0
golang.org/x/exp/shiny v0.0.0-20250606033433-dcc06ee1d476
golang.org/x/image v0.28.0
golang.org/x/mobile v0.0.0-20250606033058-a2a15c67f36f
golang.org/x/mod v0.25.0
golang.org/x/sync v0.15.0
golang.org/x/sys v0.33.0
golang.org/x/text v0.26.0
golang.org/x/tools v0.34.0
