github.com/manuelbcd/go-openproject
github.com/BurntSushi/toml v1.2.1
github.com/emirpasic/gods v1.18.1
github.com/pkg/errors v0.9.1
github.com/trivago/tgo v1.0.7
github.com/yuin/goldmark v1.4.13
golang.org/x/crypto v0.0.0-20220722155217-630584e8d5aa
golang.org/x/exp/typeparams v0.0.0-20221114191408-850992195362
golang.org/x/mod v0.7.0
golang.org/x/net v0.2.0
golang.org/x/sync v0.1.0
golang.org/x/sys v0.2.0
golang.org/x/term v0.0.0-20210927222741-03fcf44c2211
golang.org/x/text v0.3.6
golang.org/x/tools v0.3.0
honnef.co/go/tools v0.3.3
