Cloning into '/home/user/SBOM/work/dragonflyoss__Dragonfly2'...
go: downloading go1.25.5 (linux/amd64)
go: downloading github.com/go-echarts/statsview v0.3.4
go: downloading github.com/mitchellh/mapstructure v1.5.0
go: downloading github.com/spf13/cobra v1.10.1
go: downloading github.com/spf13/viper v1.18.2
go: downloading go.opentelemetry.io/otel v1.44.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace v1.44.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc v1.43.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp v1.44.0
go: downloading go.opentelemetry.io/otel/sdk v1.44.0
go: downloading google.golang.org/grpc v1.81.1
go: downloading d7y.io/api/v2 v2.2.30
go: downloading github.com/swaggo/swag v1.16.6
go: downloading go.uber.org/atomic v1.11.0
go: downloading go.uber.org/zap v1.27.1
go: downloading golang.org/x/sys v0.46.0
go: downloading gopkg.in/natefinch/lumberjack.v2 v2.0.0
go: downloading go.uber.org/mock v0.6.0
go: downloading github.com/gin-contrib/static v1.1.5
go: downloading gorm.io/gorm v1.25.0
go: downloading github.com/google/go-github v17.0.0+incompatible
go: downloading golang.org/x/oauth2 v0.36.0
go: downloading google.golang.org/api v0.279.0
go: downloading github.com/go-redis/redis_rate/v10 v10.0.1
go: downloading github.com/redis/go-redis/v9 v9.19.0
go: downloading github.com/containerd/containerd v1.7.32
go: downloading github.com/docker/distribution v2.8.3+incompatible
go: downloading github.com/cespare/xxhash/v2 v2.3.0
go: downloading github.com/go-redis/cache/v9 v9.0.0
go: downloading github.com/docker/go-connections v0.7.0
go: downloading github.com/elastic/go-freelru v0.16.0
go: downloading github.com/go-gorm/caches/v4 v4.0.5
go: downloading github.com/go-sql-driver/mysql v1.9.2
go: downloading github.com/polardb/polardbx-connector-go v1.0.3-18
go: downloading github.com/appleboy/gin-jwt/v2 v2.10.3
go: downloading github.com/dragonflyoss/machinery v1.10.14
go: downloading gorm.io/driver/mysql v1.4.7
go: downloading github.com/gin-gonic/gin v1.12.0
go: downloading github.com/google/uuid v1.6.0
go: downloading gorm.io/driver/postgres v1.4.8
go: downloading go.opentelemetry.io/otel/trace v1.44.0
