cloud.google.com/go/compute/metadata	v0.9.0
github.com/agnivade/levenshtein	v1.2.1
github.com/ardanlabs/conf/v3	v3.12.0
github.com/ardanlabs/darwin/v3	v3.3.1
github.com/arl/statsviz	v0.8.0
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/decred/dcrd/dcrec/secp256k1/v4	v4.4.1
github.com/felixge/httpsnoop	v1.1.0
github.com/go-chi/chi/v5	v5.3.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/gobwas/glob	v0.2.3
github.com/goccy/go-json	v0.10.6
github.com/golang-jwt/jwt/v4	v4.5.2
github.com/google/uuid	v1.6.0
github.com/gorilla/mux	v1.8.1
github.com/gorilla/securecookie	v1.1.2
github.com/gorilla/sessions	v1.4.0
github.com/gorilla/websocket	v1.5.3
github.com/grpc-ecosystem/grpc-gateway/v2	v2.29.0
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgservicefile	v0.0.0-20240606120523-5a60cdf6a761
github.com/jackc/pgx/v5	v5.10.0
github.com/jackc/puddle/v2	v2.2.2
github.com/jmoiron/sqlx	v1.4.0
github.com/lestrrat-go/blackmagic	v1.0.4
github.com/lestrrat-go/dsig	v1.3.0
github.com/lestrrat-go/dsig-secp256k1	v1.0.0
github.com/lestrrat-go/httpcc	v1.0.1
github.com/lestrrat-go/httprc/v3	v3.0.6
github.com/lestrrat-go/jwx/v3	v3.1.1
github.com/lestrrat-go/option/v2	v2.0.0
github.com/markbates/goth	v1.82.0
github.com/open-policy-agent/opa	v1.17.1
github.com/rcrowley/go-metrics	v0.0.0-20250401214520-65e299d6c5c9
github.com/segmentio/asm	v1.2.1
github.com/sirupsen/logrus	v1.9.4
github.com/tchap/go-patricia/v2	v2.3.3
github.com/valyala/fastjson	v1.6.10
github.com/vektah/gqlparser/v2	v2.5.35
github.com/viccon/sturdyc	v1.1.5
github.com/xeipuuv/gojsonpointer	v0.0.0-20190905194746-02993c407bfb
github.com/xeipuuv/gojsonreference	v0.0.0-20180127040603-bd5ef7bd5415
github.com/yashtewari/glob-intersection	v0.2.0
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.69.0
go.opentelemetry.io/otel	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc	v1.44.0
go.opentelemetry.io/otel/metric	v1.44.0
go.opentelemetry.io/otel/sdk	v1.44.0
go.opentelemetry.io/otel/trace	v1.44.0
go.opentelemetry.io/proto/otlp	v1.10.0
go.yaml.in/yaml/v2	v2.4.4
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.53.0
golang.org/x/net	v0.56.0
golang.org/x/oauth2	v0.36.0
golang.org/x/sync	v0.21.0
golang.org/x/sys	v0.46.0
golang.org/x/text	v0.38.0
google.golang.org/genproto/googleapis/api	v0.0.0-20260618152121-87f3d3e198d3
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260622165455-1f2690bbfedf
google.golang.org/grpc	v1.81.1
google.golang.org/protobuf	v1.36.11
sigs.k8s.io/yaml	v1.6.0
