dmitri.shuralyov.com/gpu/mtl	v0.0.0-20221208032759-85de2813cf6b
github.com/davecgh/go-spew	v1.1.1
github.com/go-gl/gl	v0.0.0-20231021071112-07e5d0ea2e71
github.com/go-gl/glfw/v3.3/glfw	v0.0.0-20250301202403-da16c1255728
github.com/go-gl/mathgl	v1.2.0
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/gopxl/glhf/v2	v2.1.0
github.com/gopxl/mainthread/v2	v2.1.1
github.com/gopxl/pixel/v2	v2.3.0
github.com/hajimehoshi/oto	v1.0.1
github.com/jezek/xgb	v1.1.1
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.10.0
golang.org/x/exp	v0.0.0-20240808152545-0cdaa3abc0fa
golang.org/x/exp/shiny	v0.0.0-20250808145144-a408d31f581a
golang.org/x/image	v0.30.0
golang.org/x/mobile	v0.0.0-20250808145247-395d808d53cd
golang.org/x/mod	v0.27.0
golang.org/x/sync	v0.16.0
golang.org/x/sys	v0.35.0
golang.org/x/text	v0.28.0
golang.org/x/tools	v0.36.0
golang.org/x/tools/go/expect	v0.1.1-deprecated
golang.org/x/tools/go/packages/packagestest	v0.1.1-deprecated
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
