github.com/DarthPestilane/easytcp
github.com/davecgh/go-spew v1.1.1
github.com/golang/mock v1.5.0
github.com/golang/protobuf v1.5.0
github.com/google/go-cmp v0.5.5
github.com/google/gofuzz v1.0.0
github.com/google/uuid v1.2.0
github.com/json-iterator/go v1.1.11
github.com/mattn/go-runewidth v0.0.13
github.com/modern-go/concurrent v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2 v1.0.1
github.com/olekukonko/tablewriter v0.0.5
github.com/pmezard/go-difflib v1.0.0
github.com/rivo/uniseg v0.2.0
github.com/sirupsen/logrus v1.8.3
github.com/spf13/cast v1.4.1
github.com/stretchr/objx v0.1.0
github.com/stretchr/testify v1.7.0
github.com/vmihailenco/msgpack/v5 v5.3.4
github.com/vmihailenco/tagparser/v2 v2.0.0
golang.org/x/crypto v0.0.0-20191011191535-87dc89f01550
golang.org/x/mod v0.3.0
golang.org/x/net v0.0.0-20190620200207-3b0461eec859
golang.org/x/sync v0.0.0-20190423024810-112230192c58
golang.org/x/sys v0.1.0
golang.org/x/text v0.3.0
golang.org/x/tools v0.0.0-20191119224855-298f0cb1881e
golang.org/x/xerrors v0.0.0-20191204190536-9bdfabe68543
google.golang.org/protobuf v1.33.0
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
