github.com/go-playground/validator/v10
github.com/davecgh/go-spew v1.1.1
github.com/gabriel-vasile/mimetype v1.4.13
github.com/go-playground/assert/v2 v2.2.0
github.com/go-playground/locales v0.14.1
github.com/go-playground/universal-translator v0.18.1
github.com/leodido/go-urn v1.4.0
github.com/pmezard/go-difflib v1.0.0
github.com/stretchr/testify v1.8.4
golang.org/x/crypto v0.52.0
golang.org/x/mod v0.35.0
golang.org/x/net v0.54.0
golang.org/x/sync v0.20.0
golang.org/x/sys v0.45.0
golang.org/x/term v0.43.0
golang.org/x/text v0.37.0
golang.org/x/tools v0.44.0
gopkg.in/yaml.v3 v3.0.1
