github.com/dinakars777/moody
charm.land/lipgloss/v2 v2.0.0
github.com/charmbracelet/colorprofile v0.4.2
github.com/charmbracelet/fang v0.4.4
github.com/charmbracelet/ultraviolet v0.0.0-20260303162955-0b88c25f3fff
github.com/charmbracelet/x/ansi v0.11.6
github.com/charmbracelet/x/exp/charmtone v0.0.0-20260302105528-e9b285c73169
github.com/charmbracelet/x/term v0.2.2
github.com/charmbracelet/x/termios v0.1.1
github.com/charmbracelet/x/windows v0.2.2
github.com/clipperhouse/displaywidth v0.11.0
github.com/clipperhouse/uax29/v2 v2.7.0
github.com/ebitengine/purego v0.10.0
github.com/fsnotify/fsnotify v1.9.0
github.com/inconshreveable/mousetrap v1.1.0
github.com/lucasb-eyer/go-colorful v1.3.0
github.com/mattn/go-runewidth v0.0.20
github.com/muesli/cancelreader v0.2.2
github.com/muesli/mango v0.2.0
github.com/muesli/mango-cobra v1.3.0
github.com/muesli/mango-pflag v0.2.0
github.com/muesli/roff v0.1.0
github.com/rivo/uniseg v0.4.7
github.com/spf13/cobra v1.10.2
github.com/spf13/pflag v1.0.10
github.com/taigrr/apple-silicon-accelerometer v0.1.1-0.20260304094750-6abbf78078b7
github.com/xo/terminfo v0.0.0-20220910002029-abceb7e1c41e
golang.org/x/sync v0.19.0
golang.org/x/sys v0.41.0
golang.org/x/text v0.34.0
