github.com/otiai10/curr	v1.0.0
github.com/otiai10/gosseract/v2	v2.3.1
github.com/otiai10/marmoset	v0.4.0
github.com/otiai10/mint	v1.3.2
golang.org/x/crypto	v0.0.0-20190308221718-c2843e01d9a2
golang.org/x/net	v0.0.0-20201224014010-6772e930b67b
