github.com/davecgh/go-spew	v1.1.1
github.com/distribution/reference	v0.5.0
github.com/docker/distribution	v2.8.3%2Bincompatible
github.com/docker/docker	v24.0.9%2Bincompatible
github.com/docker/go-connections	v0.4.0
github.com/docker/go-units	v0.5.0
github.com/expr-lang/expr	v1.15.7
github.com/fatih/color	v1.15.0
github.com/gabriel-vasile/mimetype	v1.4.2
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.16.0
github.com/gogo/protobuf	v1.3.2
github.com/gosimple/slug	v1.13.1
github.com/gosimple/unidecode	v1.0.1
github.com/inconshreveable/mousetrap	v1.1.0
github.com/leodido/go-urn	v1.2.4
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.17
github.com/microsoft/go-winio	v0.6.1
github.com/moby/term	v0.5.0
github.com/morikuni/aec	v1.0.0
github.com/opencontainers/go-digest	v1.0.0
github.com/opencontainers/image-spec	v1.0.2
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rs/xid	v1.5.0
github.com/spf13/cobra	v1.8.0
github.com/spf13/pflag	v1.0.5
github.com/stretchr/testify	v1.8.4
golang.org/x/crypto	v0.21.0
golang.org/x/mod	v0.8.0
golang.org/x/net	v0.23.0
golang.org/x/sync	v0.5.0
golang.org/x/sys	v0.18.0
golang.org/x/text	v0.14.0
golang.org/x/time	v0.4.0
golang.org/x/tools	v0.6.0
gopkg.in/yaml.v3	v3.0.1
gotest.tools/v3	v3.5.1
