github.com/coreos/go-systemd/v22	v22.7.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/pkg/errors	v0.9.1
github.com/rs/xid	v1.6.0
github.com/rs/zerolog/cmd/lint	
github.com/yuin/goldmark	v1.4.1
golang.org/x/crypto	v0.0.0-20191011191535-87dc89f01550
golang.org/x/mod	v0.5.1
golang.org/x/net	v0.0.0-20211015210444-4f30a5c0130f
golang.org/x/sync	v0.0.0-20210220032951-036812b2e83c
golang.org/x/sys	v0.0.0-20211019181941-9d821ace8654
golang.org/x/sys	v0.29.0
golang.org/x/term	v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text	v0.3.7
golang.org/x/tools	v0.1.8
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
