gioui.org v0.9.0
gioui.org/shader v1.0.8
github.com/go-text/typesetting v0.3.0
github.com/tetratelabs/wabin v0.0.0-20230304001439-f6f874872834
golang.org/x/arch v0.23.0
golang.org/x/exp v0.0.0-20260112195511-716be5621a96
golang.org/x/exp/shiny v0.0.0-20260112195511-716be5621a96
golang.org/x/image v0.35.0
golang.org/x/sys v0.40.0
golang.org/x/text v0.33.0
