github.com/anmitsu/go-shlex	v0.0.0-20200514113438-38f4b401e2be
github.com/beorn7/perks	v1.0.1
github.com/cespare/xxhash/v2	v2.3.0
github.com/gliderlabs/ssh	v0.3.8
github.com/go-resty/resty/v2	v2.17.2
github.com/google/jsonschema-go	v0.4.2
github.com/google/uuid	v1.6.0
github.com/mark3labs/mcp-go	v0.56.0
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/prometheus/client_golang	v1.23.2
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.66.1
github.com/prometheus/procfs	v0.16.1
github.com/rabbitmq/amqp091-go	v1.12.0
github.com/santhosh-tekuri/jsonschema/v6	v6.0.2
github.com/sirupsen/logrus	v1.9.4
github.com/spf13/cast	v1.7.1
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.9
github.com/yosida95/uritemplate/v3	v3.0.2
go.yaml.in/yaml/v2	v2.4.2
golang.org/x/crypto	v0.54.0
golang.org/x/net	v0.56.0
golang.org/x/sys	v0.47.0
golang.org/x/term	v0.45.0
golang.org/x/text	v0.40.0
golang.org/x/time	v0.14.0
google.golang.org/protobuf	v1.36.8
gopkg.in/yaml.v3	v3.0.1
