github.com/RoaringBitmap/roaring/v2
github.com/bits-and-blooms/bitset v1.24.4
github.com/davecgh/go-spew v1.1.1
github.com/google/go-cmp v0.6.0
github.com/google/uuid v1.6.0
github.com/mdempsky/unconvert v0.0.0-20250216222326-4a038b3d31f5
github.com/mschoch/smat v0.2.0
github.com/pmezard/go-difflib v1.0.0
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
github.com/yuin/goldmark v1.4.13
golang.org/x/mod v0.23.0
golang.org/x/net v0.35.0
golang.org/x/sync v0.11.0
golang.org/x/sys v0.30.0
golang.org/x/telemetry v0.0.0-20240521205824-bda55230c457
golang.org/x/text v0.22.0
golang.org/x/tools v0.30.0
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
