github.com/QuintenBruynseraede/tf-profile
github.com/cpuguy83/go-md2man/v2 v2.0.4
github.com/davecgh/go-spew v1.1.1
github.com/fatih/color v1.17.0
github.com/google/go-cmp v0.6.0
github.com/inconshreveable/mousetrap v1.1.0
github.com/mattn/go-colorable v0.1.13
github.com/mattn/go-isatty v0.0.20
github.com/mattn/go-runewidth v0.0.16
github.com/pmezard/go-difflib v1.0.0
github.com/rivo/uniseg v0.2.0
github.com/rodaine/table v1.3.0
github.com/russross/blackfriday/v2 v2.1.0
github.com/spf13/cobra v1.8.1
github.com/spf13/pflag v1.0.5
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.9.0
golang.org/x/sys v0.26.0
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
