github.com/basho/backoff	v0.0.0-20150307023525-2ff7c4694083
github.com/basho/riak-go-client	v0.0.0-20170327205844-5587c16e0b8b
github.com/golang/protobuf	v1.1.0
github.com/zegl/goriak	v3.2.1%2Bincompatible
