filippo.io/age	v1.2.1
filippo.io/edwards25519	v1.1.1
github.com/alecthomas/kong	v1.12.0
github.com/antithesishq/antithesis-sdk-go	v0.5.0-default-no-op
github.com/armon/go-metrics	v0.4.1
github.com/aws/aws-sdk-go-v2	v1.21.0
github.com/aws/aws-sdk-go-v2	v1.36.3
github.com/aws/aws-sdk-go-v2/config	v1.18.37
github.com/aws/aws-sdk-go-v2/config	v1.29.14
github.com/aws/aws-sdk-go-v2/credentials	v1.13.35
github.com/aws/aws-sdk-go-v2/credentials	v1.17.67
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.13.11
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.16.30
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.1.41
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.3.34
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.4.35
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.6.34
github.com/aws/aws-sdk-go-v2/internal/ini	v1.3.42
github.com/aws/aws-sdk-go-v2/internal/ini	v1.8.3
github.com/aws/aws-sdk-go-v2/service/appconfig	v1.16.1
github.com/aws/aws-sdk-go-v2/service/appconfig	v1.37.3
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.12.3
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.12.15
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.9.35
github.com/aws/aws-sdk-go-v2/service/ssm	v1.37.5
github.com/aws/aws-sdk-go-v2/service/ssm	v1.58.2
github.com/aws/aws-sdk-go-v2/service/sso	v1.13.5
github.com/aws/aws-sdk-go-v2/service/sso	v1.25.3
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.15.5
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.30.1
github.com/aws/aws-sdk-go-v2/service/sts	v1.21.5
github.com/aws/aws-sdk-go-v2/service/sts	v1.33.19
github.com/aws/smithy-go	v1.14.2
github.com/aws/smithy-go	v1.22.3
github.com/azure/azure-sdk-for-go/sdk/azcore	v1.17.1
github.com/azure/azure-sdk-for-go/sdk/azcore	v1.18.0
github.com/azure/azure-sdk-for-go/sdk/azidentity	v1.8.2
github.com/azure/azure-sdk-for-go/sdk/internal	v1.10.0
github.com/azure/azure-sdk-for-go/sdk/internal	v1.11.1
github.com/azure/azure-sdk-for-go/sdk/security/keyvault/azsecrets	v1.3.1
github.com/azure/azure-sdk-for-go/sdk/security/keyvault/internal	v1.1.1
github.com/azuread/microsoft-authentication-library-for-go	v1.3.3
github.com/burntsushi/toml	v1.5.0
github.com/cenkalti/backoff/v3	v3.2.2
github.com/cenkalti/backoff/v4	v4.3.0
github.com/coreos/go-semver	v0.3.1
github.com/coreos/go-systemd/v22	v22.5.0
github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.16.0
github.com/fatih/color	v1.18.0
github.com/fatih/structs	v1.1.0
github.com/fsnotify/fsnotify	v1.6.0
github.com/fsnotify/fsnotify	v1.9.0
github.com/go-jose/go-jose/v4	v4.1.4
github.com/go-viper/mapstructure/v2	v2.4.0
github.com/gogo/protobuf	v1.3.2
github.com/golang-jwt/jwt/v5	v5.2.2
github.com/golang/protobuf	v1.5.3
