dataset,tool,gt,tp,fp,fn
july_full,syft,all,76929,13673,77030
july_full,syft,imported,47981,42621,120
july_full,syft,imported+test,52136,38466,123
july_full,trivy,all,71376,13198,77001
july_full,trivy,imported,45970,38604,109
july_full,trivy,imported+test,50075,34499,112
july_full,cdxgen,all,47975,6413,96881
july_full,cdxgen,imported,45006,9382,77
july_full,cdxgen,imported+test,45442,8946,3705
july_full,cyclonedx-gomod,all,54433,130,96653
july_full,cyclonedx-gomod,imported,46700,7863,526
july_full,cyclonedx-gomod,imported+test,46776,7787,4578
cold_full,syft,all,77310,13673,77553
cold_full,syft,imported,48098,42885,120
cold_full,syft,imported+test,52275,38708,123
cold_full,trivy,all,72618,13247,78337
cold_full,trivy,imported,46678,39187,110
cold_full,trivy,imported+test,50827,35038,113
cold_full,cdxgen,all,48365,6413,98310
cold_full,cdxgen,imported,45404,9374,77
cold_full,cdxgen,imported+test,45840,8938,3727
cold_full,cyclonedx-gomod,all,55244,130,97700
cold_full,cyclonedx-gomod,imported,47114,8260,529
cold_full,cyclonedx-gomod,imported+test,47190,8184,4603
july_n1466,syft,all,69069,10634,69537
july_n1466,syft,imported,42673,37030,104
july_n1466,syft,imported+test,46638,33065,106
july_n1466,trivy,all,66369,10696,72237
july_n1466,trivy,imported,42673,34392,104
july_n1466,trivy,imported+test,46638,30427,106
july_n1466,cdxgen,all,45677,5945,92929
july_n1466,cdxgen,imported,42701,8921,76
july_n1466,cdxgen,imported+test,43107,8515,3637
july_n1466,cyclonedx-gomod,all,49317,110,89289
july_n1466,cyclonedx-gomod,imported,42292,7135,485
july_n1466,cyclonedx-gomod,imported+test,42364,7063,4380
cold_n1466,syft,all,69084,10634,69516
cold_n1466,syft,imported,42673,37045,104
cold_n1466,syft,imported+test,46638,33080,106
cold_n1466,trivy,all,66360,10696,72240
cold_n1466,trivy,imported,42673,34383,104
cold_n1466,trivy,imported+test,46638,30418,106
cold_n1466,cdxgen,all,45676,5945,92924
cold_n1466,cdxgen,imported,42701,8920,76
cold_n1466,cdxgen,imported+test,43107,8514,3637
cold_n1466,cyclonedx-gomod,all,49317,110,89283
cold_n1466,cyclonedx-gomod,imported,42292,7135,485
cold_n1466,cyclonedx-gomod,imported+test,42364,7063,4380
