dataset,table,tool,gt,precision,recall,f1
july_full,macro_name,syft,all,92.6,67.1,73.0
july_full,macro_name,syft,imported,55.6,99.9,67.0
july_full,macro_name,syft,imported+test,68.6,99.9,78.3
july_full,macro_name,trivy,all,92.3,67.0,72.5
july_full,macro_name,trivy,imported,59.1,99.9,68.4
july_full,macro_name,trivy,imported+test,72.9,99.9,79.7
july_full,macro_name,cdxgen,all,94.5,42.4,52.8
july_full,macro_name,cdxgen,imported,91.4,99.8,93.2
july_full,macro_name,cdxgen,imported+test,92.2,82.4,82.3
july_full,macro_name,cyclonedx-gomod,all,99.9,43.5,56.5
july_full,macro_name,cyclonedx-gomod,imported,92.4,99.1,94.5
july_full,macro_name,cyclonedx-gomod,imported+test,92.6,81.0,82.5
july_full,macro_version,syft,all,91.1,66.6,72.1
july_full,macro_version,syft,imported,54.8,99.9,66.3
july_full,macro_version,syft,imported+test,67.8,99.9,77.5
july_full,macro_version,trivy,all,90.9,66.4,71.6
july_full,macro_version,trivy,imported,58.5,99.9,67.8
july_full,macro_version,trivy,imported+test,72.1,99.8,79.1
july_full,macro_version,cdxgen,all,93.5,41.9,52.2
july_full,macro_version,cdxgen,imported,90.8,99.7,92.7
july_full,macro_version,cdxgen,imported+test,91.6,82.3,81.8
july_full,macro_version,cyclonedx-gomod,all,99.9,43.5,56.5
july_full,macro_version,cyclonedx-gomod,imported,92.3,99.1,94.5
july_full,macro_version,cyclonedx-gomod,imported+test,92.6,81.0,82.4
july_full,micro_name,syft,all,84.9,50.0,62.9
july_full,micro_name,syft,imported,53.0,99.8,69.2
july_full,micro_name,syft,imported+test,57.5,99.8,73.0
july_full,micro_name,trivy,all,84.4,48.1,61.3
july_full,micro_name,trivy,imported,54.4,99.8,70.4
july_full,micro_name,trivy,imported+test,59.2,99.8,74.3
july_full,micro_name,cdxgen,all,88.2,33.1,48.2
july_full,micro_name,cdxgen,imported,82.7,99.8,90.5
july_full,micro_name,cdxgen,imported+test,83.6,92.5,87.8
july_full,micro_name,cyclonedx-gomod,all,99.8,36.0,52.9
july_full,micro_name,cyclonedx-gomod,imported,85.6,98.9,91.8
july_full,micro_name,cyclonedx-gomod,imported+test,85.7,91.1,88.3
cold_full,macro_name,syft,all,92.7,67.0,72.9
cold_full,macro_name,syft,imported,55.6,99.9,67.1
cold_full,macro_name,syft,imported+test,68.7,99.9,78.3
cold_full,macro_name,trivy,all,92.3,67.0,72.5
cold_full,macro_name,trivy,imported,59.2,99.9,68.4
cold_full,macro_name,trivy,imported+test,72.9,99.9,79.7
cold_full,macro_name,cdxgen,all,94.6,42.3,52.7
cold_full,macro_name,cdxgen,imported,91.5,99.8,93.3
cold_full,macro_name,cdxgen,imported+test,92.3,82.5,82.4
cold_full,macro_name,cyclonedx-gomod,all,99.9,43.5,56.5
cold_full,macro_name,cyclonedx-gomod,imported,92.4,99.2,94.5
cold_full,macro_name,cyclonedx-gomod,imported+test,92.6,81.1,82.5
cold_full,macro_version,syft,all,91.2,66.4,72.0
cold_full,macro_version,syft,imported,54.9,99.9,66.4
cold_full,macro_version,syft,imported+test,67.8,99.9,77.5
cold_full,macro_version,trivy,all,91.0,66.3,71.6
cold_full,macro_version,trivy,imported,58.5,99.9,67.9
cold_full,macro_version,trivy,imported+test,72.1,99.8,79.1
cold_full,macro_version,cdxgen,all,93.6,41.9,52.2
cold_full,macro_version,cdxgen,imported,90.8,99.7,92.8
cold_full,macro_version,cdxgen,imported+test,91.6,82.3,81.9
cold_full,macro_version,cyclonedx-gomod,all,99.9,43.5,56.4
cold_full,macro_version,cyclonedx-gomod,imported,92.3,99.1,94.4
cold_full,macro_version,cyclonedx-gomod,imported+test,92.5,81.0,82.4
cold_full,micro_name,syft,all,85.0,49.9,62.9
cold_full,micro_name,syft,imported,52.9,99.8,69.1
cold_full,micro_name,syft,imported+test,57.5,99.8,72.9
cold_full,micro_name,trivy,all,84.6,48.1,61.3
cold_full,micro_name,trivy,imported,54.4,99.8,70.4
cold_full,micro_name,trivy,imported+test,59.2,99.8,74.3
cold_full,micro_name,cdxgen,all,88.3,33.0,48.0
cold_full,micro_name,cdxgen,imported,82.9,99.8,90.6
cold_full,micro_name,cdxgen,imported+test,83.7,92.5,87.9
cold_full,micro_name,cyclonedx-gomod,all,99.8,36.1,53.0
cold_full,micro_name,cyclonedx-gomod,imported,85.1,98.9,91.5
cold_full,micro_name,cyclonedx-gomod,imported+test,85.2,91.1,88.1
july_n1466,macro_name,syft,all,93.1,67.3,73.4
july_n1466,macro_name,syft,imported,56.0,100.0,67.4
july_n1466,macro_name,syft,imported+test,69.3,99.9,78.8
july_n1466,macro_name,trivy,all,92.8,67.0,72.8
july_n1466,macro_name,trivy,imported,59.6,100.0,68.9
july_n1466,macro_name,trivy,imported+test,73.6,99.9,80.4
july_n1466,macro_name,cdxgen,all,94.6,42.4,52.7
july_n1466,macro_name,cdxgen,imported,91.5,99.8,93.3
july_n1466,macro_name,cdxgen,imported+test,92.4,82.3,82.3
july_n1466,macro_name,cyclonedx-gomod,all,99.9,43.5,56.4
