Cloning into '/home/user/SBOM/work/fastschema__fastschema'...
go: downloading golang.org/x/time v0.12.0
go: downloading github.com/mitchellh/go-homedir v1.1.0
go: downloading github.com/jzelinskie/whirlpool v0.0.0-20201016144138-0675e54bb004
go: downloading github.com/segmentio/asm v1.2.0
go: downloading github.com/go-openapi/strfmt v0.23.0
go: downloading github.com/go-playground/validator/v10 v10.27.0
go: downloading github.com/hashicorp/go-cleanhttp v0.5.2
go: downloading github.com/hashicorp/go-retryablehttp v0.7.8
go: downloading sigs.k8s.io/yaml v1.5.0
go: downloading github.com/aws/aws-sdk-go-v2/feature/ec2/imds v1.16.33
go: downloading github.com/aws/aws-sdk-go-v2/internal/ini v1.8.3
go: downloading github.com/aws/aws-sdk-go-v2/service/sso v1.25.6
go: downloading github.com/aws/aws-sdk-go-v2/service/ssooidc v1.30.4
go: downloading github.com/aws/aws-sdk-go-v2/service/sts v1.34.1
go: downloading github.com/lanrat/extsort v1.0.2
go: downloading github.com/spf13/pflag v1.0.7
go: downloading github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream v1.6.11
go: downloading github.com/aws/aws-sdk-go-v2/internal/configsources v1.3.37
go: downloading github.com/aws/aws-sdk-go-v2/internal/v4a v1.3.37
go: downloading github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding v1.12.4
go: downloading github.com/aws/aws-sdk-go-v2/service/internal/checksum v1.7.5
go: downloading github.com/aws/aws-sdk-go-v2/service/internal/presigned-url v1.12.18
go: downloading github.com/aws/aws-sdk-go-v2/service/internal/s3shared v1.18.18
go: downloading github.com/rivo/uniseg v0.4.7
go: downloading github.com/pmezard/go-difflib v1.0.1-0.20181226105442-5d4384ee4fb2
go: downloading go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.61.0
go: downloading github.com/agext/levenshtein v1.2.3
go: downloading github.com/apparentlymart/go-textseg/v15 v15.0.0
go: downloading github.com/mitchellh/go-wordwrap v1.0.1
go: downloading github.com/google/go-cmp v0.7.0
go: downloading gopkg.in/yaml.v2 v2.4.0
go: downloading github.com/beorn7/perks v1.0.1
go: downloading github.com/cespare/xxhash/v2 v2.3.0
go: downloading github.com/prometheus/client_model v0.6.2
go: downloading github.com/prometheus/common v0.65.0
go: downloading github.com/prometheus/procfs v0.17.0
go: downloading google.golang.org/protobuf v1.36.6
go: downloading github.com/coreos/go-semver v0.3.1
go: downloading golang.org/x/term v0.33.0
go: downloading github.com/asaskevich/govalidator v0.0.0-20230301143203-a9d515a09cc2
go: downloading github.com/go-openapi/errors v0.22.1
go: downloading github.com/oklog/ulid v1.3.1
go: downloading go.mongodb.org/mongo-driver v1.17.4
go: downloading github.com/gabriel-vasile/mimetype v1.4.9
go: downloading github.com/go-playground/universal-translator v0.18.1
go: downloading github.com/leodido/go-urn v1.4.0
go: downloading go.yaml.in/yaml/v2 v2.4.2
go: downloading github.com/Max-Sum/base32768 v0.0.0-20230304063302-18e6ce5945fd
go: downloading github.com/rfjakob/eme v1.1.2
