github.com/cespare/xxhash/v2	v2.3.0
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/dustin/go-humanize	v1.0.1
github.com/google/uuid	v1.3.0
github.com/lib/pq	v1.11.1
github.com/mattn/go-isatty	v0.0.16
github.com/mattn/go-sqlite3	v1.14.33
github.com/ncruces/go-sqlite3	v0.16.2
github.com/ncruces/go-strftime	v0.1.9
github.com/ncruces/julianday	v1.0.0
github.com/redis/go-redis/v9	v9.11.0
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec
github.com/tetratelabs/wazero	v1.7.3
github.com/tidwall/btree	v1.7.0
github.com/tidwall/match	v1.1.1
github.com/tidwall/redcon	v1.6.2
golang.org/x/sys	v0.21.0
modernc.org/libc	v1.41.0
modernc.org/mathutil	v1.6.0
modernc.org/memory	v1.7.2
modernc.org/sqlite	v1.29.5
