github.com/mattes/migrate	v3.0.1%2Bincompatible
github.com/petar/GoMNIST	v0.0.0-20150320212226-2fbe10d0fa63
golang.org/x/exp	v0.0.0-20210916165020-5cb4fee858ee
golang.org/x/tools	v0.1.6
gonum.org/v1/gonum	v0.9.3
