repo,kind,nmains,imp,all,app_n,mod_n,main_used,app_tp_imp,app_fp_imp,app_fn_imp,mod_tp_imp,mod_fp_imp,mod_fn_imp,app_tp_all,app_fp_all,app_fn_all,mod_tp_all,mod_fp_all,mod_fn_all
pancsta__asyncmachine-go,app_cmd,2,232,551,52,251,internal/cmd/am-dbg-video,52,0,180,232,19,0,52,0,499,251,0,300
ergo-services__ergo,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
Tochemey__goakt,app_other,23,130,311,56,132,playground/discussion-320,56,0,74,127,5,3,56,0,255,132,0,179
anthdm__hollywood,app_other,1,38,117,13,39,_bench,13,0,25,38,1,0,13,0,104,39,0,78
asynkron__protoactor-go,app_other,1,107,219,2,108,protobuf/protoc-gen-go-grain,2,0,105,107,1,0,2,0,217,108,0,111
saivedant169__AegisFlow,app_cmd,3,68,164,2,67,cmd/aegisctl,2,0,66,67,0,1,2,0,162,67,0,97
Colin4k1024__Aetheris,app_cmd,9,124,267,117,126,cmd/api,117,0,7,121,5,3,117,0,150,126,0,141
agenticenv__agent-sdk-go,app_other,3,120,392,65,116,benchmarks,65,0,55,116,0,4,65,0,327,116,0,276
philippgille__chromem-go,app_run_fail,1,0,0,NA,0,wasm,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
dakera-ai__dakera-go,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
zendev-sh__goai,app_run_fail,2,2,9,NA,2,bench/fixtures,NA,NA,NA,2,0,0,NA,NA,NA,2,0,7
hrygo__hotplex,app_cmd,2,120,302,7,124,cmd/build-docs,7,0,113,120,4,0,7,0,295,124,0,178
tmc__langchaingo,app_run_fail,7,246,883,NA,244,docs,NA,NA,NA,239,5,7,NA,NA,NA,244,0,639
smallnest__langgraphgo,app_run_fail,1,52,350,NA,53,ptc,NA,NA,NA,52,1,0,NA,NA,NA,53,0,297
mudler__LocalAI,app_cmd,26,455,1124,28,478,cmd/launcher,28,0,427,451,27,4,28,0,1096,478,0,646
harshaneel__localaik,app_cmd,1,22,83,0,22,cmd/localaik,0,0,22,22,0,0,0,0,83,22,0,61
jmorganca__ollama,app_root,7,71,177,67,89,.,67,0,4,71,18,0,67,0,110,89,0,88
presbrey__ollamafarm,app_cmd,1,1,64,1,1,cmd/ollamafarmd,1,0,0,1,0,0,1,0,63,1,0,63
oluwajubelo1__otellix,lib_no_realmain,0,64,303,NA,75,NONE,NA,NA,NA,64,11,0,NA,NA,NA,75,0,228
Ad3bay0c__routex,app_cmd,1,33,88,33,33,cmd/routex,33,0,0,33,0,0,33,0,55,33,0,55
zoharbabin__web-researcher-mcp,app_cmd,1,34,444,34,269,cmd/web-researcher-mcp,34,0,0,34,235,0,34,0,410,269,0,175
