filippo.io/edwards25519	v1.2.0
github.com/aymerick/douceur	v0.2.0
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.19.0
github.com/fatih/structs	v1.1.0
github.com/go-sql-driver/mysql	v1.10.0
github.com/gobuffalo/attrs	v1.0.3
github.com/gobuffalo/envy	v1.10.2
github.com/gobuffalo/fizz	v1.14.4
github.com/gobuffalo/flect	v1.0.3
github.com/gobuffalo/genny/v2	v2.1.1
github.com/gobuffalo/github_flavored_markdown	v1.1.4
github.com/gobuffalo/helpers	v0.6.10
github.com/gobuffalo/logger	v1.0.7
github.com/gobuffalo/nulls	v0.4.2
github.com/gobuffalo/packd	v1.0.2
github.com/gobuffalo/plush/v4	v4.1.22
github.com/gobuffalo/plush/v5	v5.0.4
github.com/gobuffalo/tags/v3	v3.1.4
github.com/gobuffalo/validate/v3	v3.3.3
github.com/gofrs/uuid	v4.4.0%2Bincompatible
github.com/gorilla/css	v1.0.1
github.com/inconshreveable/mousetrap	v1.1.0
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgservicefile	v0.0.0-20240606120523-5a60cdf6a761
github.com/jackc/pgx/v5	v5.10.0
github.com/jackc/puddle/v2	v2.2.2
github.com/jmoiron/sqlx	v1.4.0
github.com/joho/godotenv	v1.5.1
github.com/kballard/go-shellquote	v0.0.0-20180428030007-95032a82bc51
github.com/kr/text	v0.2.0
github.com/lib/pq	v1.12.3
github.com/luna-duclos/instrumentedsql	v1.1.3
github.com/masterminds/semver/v3	v3.4.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-sqlite3	v1.14.48
github.com/microcosm-cc/bluemonday	v1.0.27
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.14.1
github.com/sergi/go-diff	v1.4.0
github.com/sirupsen/logrus	v1.9.4
github.com/sourcegraph/annotate	v0.0.0-20160123013949-f4cad6c6324d
github.com/sourcegraph/syntaxhighlight	v0.0.0-20170531221838-bd320f5d308e
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.10
github.com/stretchr/testify	v1.11.1
golang.org/x/mod	v0.35.0
golang.org/x/net	v0.55.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.45.0
golang.org/x/term	v0.43.0
golang.org/x/text	v0.37.0
golang.org/x/tools	v0.44.0
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
