github.com/agnivade/wasmbrowsertest
github.com/chromedp/cdproto v0.0.0-20260321001828-e3e3800016bc
github.com/chromedp/chromedp v0.15.1
github.com/chromedp/sysutil v1.1.0
github.com/chzyer/readline v1.5.0
github.com/edsrzf/mmap-go v1.0.0
github.com/go-interpreter/wagon v0.6.0
github.com/go-json-experiment/json v0.0.0-20260214004413-d219187c3433
github.com/gobwas/httphead v0.1.0
github.com/gobwas/pool v0.2.1
github.com/gobwas/ws v1.4.0
github.com/google/pprof v0.0.0-20220520215854-d04f2422c8a1
github.com/ianlancetaylor/demangle v0.0.0-20220319035150-800ac71e25c2
github.com/ledongthuc/pdf v0.0.0-20220302134840-0c2507a12d80
github.com/orisano/pixelmatch v0.0.0-20220722002657-fb0b55479cde
github.com/twitchyliquid64/golang-asm v0.0.0-20190126203739-365674df15fc
golang.org/x/sys v0.42.0
