github.com/btcsuite/btcd/btcec/v2	v2.3.6
github.com/btcsuite/btcd/btcutil	v1.1.6
github.com/davecgh/go-spew	v1.1.1
github.com/decred/dcrd/dcrec/secp256k1/v4	v4.4.0
github.com/ethereum/go-ethereum	v1.16.5
github.com/holiman/uint256	v1.3.2
github.com/joho/godotenv	v1.5.1
github.com/kslamph/bip39-hdwallet	v1.0.2
github.com/mr-tron/base58	v1.2.0
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.14.1
github.com/shopspring/decimal	v1.4.0
github.com/stretchr/testify	v1.11.1
golang.org/x/crypto	v0.43.0
golang.org/x/net	v0.46.0
golang.org/x/sys	v0.37.0
golang.org/x/text	v0.30.0
google.golang.org/genproto/googleapis/api	v0.0.0-20251029180050-ab9386a59fda
google.golang.org/genproto/googleapis/rpc	v0.0.0-20251029180050-ab9386a59fda
google.golang.org/grpc	v1.76.0
google.golang.org/protobuf	v1.36.10
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
