github.com/bwmarrin/snowflake	v0.3.0
github.com/cespare/xxhash/v2	v2.2.0
github.com/davecgh/go-spew	v1.1.1
github.com/dgraph-io/badger/v4	v4.2.0
github.com/dgraph-io/ristretto	v0.1.1
github.com/dustin/go-humanize	v1.0.1
github.com/go-ole/go-ole	v1.2.6
github.com/gofrs/flock	v0.8.1
github.com/gogo/protobuf	v1.3.2
github.com/golang/glog	v1.2.0
github.com/google/uuid	v1.6.0
github.com/klauspost/compress	v1.17.4
github.com/kr/pretty	v0.2.0
github.com/kr/text	v0.2.0
github.com/lotusdblabs/bbolt	v1.3.9-0.20250108061345-78c23c59588d
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rosedblabs/diskhash	v0.0.0-20230910084041-289755737e2a
github.com/rosedblabs/wal	v1.3.8
github.com/shirou/gopsutil	v3.21.11%2Bincompatible
github.com/spaolacci/murmur3	v1.1.0
github.com/stretchr/testify	v1.11.1
github.com/valyala/bytebufferpool	v1.0.0
github.com/yusufpapurcu/wmi	v1.2.4
go.etcd.io/bbolt	v1.5.0
golang.org/x/net	v0.19.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
gopkg.in/yaml.v3	v3.0.1
