github.com/gopxl/beep/v2
github.com/d4l3k/messagediff v1.2.2-0.20190829033028-7e0a312ae40b
github.com/davecgh/go-spew v1.1.1
github.com/ebitengine/oto/v3 v3.3.2
github.com/ebitengine/purego v0.8.0
github.com/gdamore/encoding v1.0.0
github.com/gdamore/tcell/v2 v2.7.4
github.com/hajimehoshi/go-mp3 v0.3.4
github.com/hajimehoshi/oto/v2 v2.3.1
github.com/icza/bitio v1.1.0
github.com/icza/mighty v0.0.0-20180919140131-cfd07d671de6
github.com/jfreymuth/oggvorbis v1.0.5
github.com/jfreymuth/vorbis v1.0.2
github.com/jszwec/csvutil v1.5.1
github.com/lucasb-eyer/go-colorful v1.2.0
github.com/mattn/go-runewidth v0.0.15
github.com/mewkiz/flac v1.0.12
github.com/mewkiz/pkg v0.0.0-20230226050401-4010bf0fec14
github.com/orcaman/writerseeker v0.0.0-20200621085525-1d3f536ff85e
github.com/pkg/errors v0.9.1
github.com/pmezard/go-difflib v1.0.0
github.com/rivo/uniseg v0.4.3
github.com/samhocevar/go-meltysynth v0.0.0-20230403180939-aca4a036cb16
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.10.0
github.com/yuin/goldmark v1.4.13
golang.org/x/crypto v0.0.0-20210921155107-089bfa567519
golang.org/x/image v0.5.0
golang.org/x/mod v0.8.0
golang.org/x/net v0.7.0
golang.org/x/sync v0.1.0
golang.org/x/sys v0.25.0
golang.org/x/term v0.17.0
golang.org/x/text v0.14.0
golang.org/x/tools v0.6.0
golang.org/x/xerrors v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
